mLL,ptLL,etmiss,mtw,lep1_pt,lep1_eta,lep1_E,lep1_phi,lep1_ch,lep1_ID,lep2_pt,lep2_eta,lep2_E,lep2_phi,lep2_ch,lep2_ID,lep3_pt,lep3_eta,lep3_E,lep3_phi,lep3_ch,lep3_ID,weight
87.9026,76.0907,36.0893,51.5409,90.7306,-0.913543,131.298,-1.53565,1,11,25.0603,-0.694891,31.3581,0.776329,-1,11,21.0809,2.1886,95.2304,-2.50168,-1,13,0.038091
92.3724,486.492,32.1498,37.4466,440.85,0.414328,479.235,1.43791,1,11,417.78,-0.470993,464.982,-1.70007,1,11,75.2674,-0.729441,96.1954,-1.24427,-1,11,0.0483833
90.6816,59.8688,50.9524,49.7978,81.328,0.786506,107.806,1.94442,-1,11,22.7696,0.0773083,22.8377,-1.48767,1,11,20.2224,-2.14649,87.6808,-0.436641,-1,11,0.0408556
94.3091,15.4708,30.108,52.2205,49.7833,-1.48458,115.49,-2.60407,1,13,39.1311,-2.25896,189.348,0.282631,-1,13,33.133,-1.11856,56.114,3.04035,1,11,0.080013
82.2227,256.17,35.2633,109.62,309.583,1.55737,767.303,0.396036,1,11,231.405,-0.284519,240.835,-3.14043,-1,13,27.1301,0.623605,32.5786,2.69878,1,13,0.070328
92.1025,196.72,68.0958,35.6266,129.099,-0.443513,142.006,-0.734774,1,11,80.175,-1.00794,124.468,-0.0177756,-1,11,49.0511,-0.708641,61.8913,1.10264,1,13,0.0956749
83.2484,42.1725,63.1988,80.5978,66.9391,-0.502056,75.5543,-0.958731,1,13,36.9562,-0.920448,53.7482,1.34696,-1,11,25.0165,-0.888285,35.5525,2.29492,-1,13,0.0823103
96.3003,70.344,71.165,30.899,79.825,0.300665,83.4604,-1.70717,-1,13,32.8898,1.73704,96.3105,0.593508,1,13,25.722,1.4598,58.3554,2.47257,1,13,0.0107727
97.4111,172.596,49.391,37.8955,133.747,-1.39501,286.409,1.81147,-1,13,48.8052,-2.31701,249.976,2.56515,1,13,40.6699,-1.62411,107.185,1.3635,1,11,0.114306
92.5912,114.434,35.9115,48.866,81.6299,1.9815,301.683,2.04746,-1,13,45.4708,0.827783,61.9598,2.98984,1,13,42.5322,-0.647461,51.763,-0.8764,-1,13,0.0301344
81.229,55.0298,39.4109,56.9269,50.9761,0.845387,70.3029,-0.656949,-1,11,42.0141,0.181464,42.7078,1.23091,1,11,21.932,0.884836,31.0926,0.102016,1,11,0.0642353
92.9148,111.867,44.0809,47.7018,107.257,-0.607833,127.688,3.00082,1,13,67.617,-0.560499,78.5193,1.84613,-1,13,28.9333,0.278148,30.0599,1.45791,-1,13,0.0395704
85.4034,207.58,74.3827,44.9391,141.282,0.729299,180.55,1.78873,-1,13,70.4162,1.46091,159.912,1.36903,1,13,34.3714,0.298542,35.9147,-2.30234,-1,13,0.0356164
95.5808,87.3647,50.9541,33.4811,102.885,-0.493232,115.656,-2.10435,1,13,24.4566,-0.0289203,24.4671,1.82477,-1,13,20.907,-0.114382,21.0439,-2.22087,-1,11,0.0315227
