mLL,ptLL,etmiss,mtw,lep1_pt,lep1_eta,lep1_E,lep1_phi,lep1_ch,lep1_ID,lep2_pt,lep2_eta,lep2_E,lep2_phi,lep2_ch,lep2_ID,lep3_pt,lep3_eta,lep3_E,lep3_phi,lep3_ch,lep3_ID,weight
91.5218,109.635,78.9538,110.821,92.0437,2.20582,422.843,1.18685,1,11,63.37,1.58881,161.66,-2.1839,1,11,50.5769,2.31499,258.538,2.65113,-1,11,619.148
89.8014,37.2176,36.2921,72.9045,45.38,-1.27626,87.6353,-1.29655,-1,11,25.9299,0.853021,35.9498,0.319314,1,11,20.7502,-1.88445,69.8724,1.62474,-1,11,1962.43
88.1798,35.4108,41.1272,52.373,62.8359,-0.393691,67.7687,-1.88526,-1,11,27.4982,0.301537,28.7579,1.31105,1,11,20.9184,2.4376,120.624,1.15126,1,13,1130.93
90.3494,62.0534,49.9842,30.1266,58.4558,-0.353584,62.1482,-3.0375,1,11,38.3426,0.685144,47.6996,-1.23335,-1,11,31.9366,-0.0940227,32.0781,0.260711,1,13,1239.55
84.764,18.9409,34.8088,56.4408,40.3502,2.23221,190.205,-2.44297,1,11,23.2294,-1.15753,40.6087,0.736183,-1,11,22.3372,0.467748,24.8257,0.893979,-1,11,2093.54
89.2743,58.6382,50.0544,49.914,71.87,-0.833839,98.3367,2.43439,1,11,53.6904,-2.0424,210.433,-0.332487,-1,11,32.5603,-1.29326,63.802,-1.64012,-1,11,2209.49
94.4918,57.6461,40.921,30.0869,80.2668,0.440167,88.1689,-0.834004,-1,11,28.299,0.888959,40.2367,1.77795,1,11,22.5838,1.2346,42.0958,2.23865,-1,13,-1684.87
83.9622,20.8206,46.4747,37.3618,33.8746,-1.55457,83.7435,-1.36351,1,11,21.8727,0.496561,24.6252,2.41376,-1,11,21.0552,-1.23273,39.1848,-0.479006,-1,13,1277.32
91.5405,48.4125,33.6325,36.6146,36.5632,-1.84532,118.613,1.29795,1,11,26.7224,-2.06544,107.097,-2.25933,-1,11,22.3449,0.698596,28.0229,-1.93089,1,11,1202.74
90.0517,66.726,53.3463,65.1415,88.0002,1.81282,276.8,0.433813,1,11,32.5099,2.13525,139.425,-3.06754,-1,11,23.244,2.11358,97.6082,-2.35004,-1,11,2213.15
