mLL,ptLL,etmiss,mtw,lep1_pt,lep1_eta,lep1_E,lep1_phi,lep1_ch,lep1_ID,lep2_pt,lep2_eta,lep2_E,lep2_phi,lep2_ch,lep2_ID,lep3_pt,lep3_eta,lep3_E,lep3_phi,lep3_ch,lep3_ID,weight
90.6324,39.2029,32.6373,74.3951,58.7755,-0.1414,59.3642,3.01979,-1,13,42.5557,-0.803836,57.0609,-2.92562,-1,13,21.1509,-1.64146,56.6463,-0.435402,1,13,1768.28
88.9737,20.058,40.5666,50.7258,51.2962,-0.222631,52.5728,-0.702278,-1,13,37.9337,0.202268,38.7125,2.09856,1,13,20.807,0.397772,22.4751,-2.4287,1,13,2281.3
91.8813,30.6215,38.9803,53.3926,59.5912,-0.32926,62.8507,0.0496449,-1,13,34.7308,0.149326,35.1189,-2.69638,1,13,24.9491,1.36333,51.9565,-2.71681,-1,11,-844.278
89.2001,18.0401,69.2995,78.9015,47.6716,-2.09823,197.226,-0.658477,1,13,41.7127,-1.717,119.87,2.86732,-1,13,30.3854,0.00236817,30.3855,0.93675,1,11,1636.72
85.4308,12.4283,80.0215,88.9491,48.6709,-0.528598,55.6305,1.90495,1,13,36.2508,-0.896226,51.8105,-1.2474,-1,13,26.5319,0.67543,32.8175,1.12367,-1,11,1886.03
82.7483,54.5233,45.5494,119.078,77.8256,0.546306,89.7309,2.9031,-1,13,40.6903,-1.81241,127.939,-0.818314,-1,13,40.0911,-0.489852,44.9982,0.841549,1,13,1810.03
90.0062,93.0853,38.8734,71.7202,102.539,0.462453,113.7,-1.74756,1,13,38.6972,-0.895649,55.2841,2.44196,-1,13,26.6416,0.631604,32.1348,0.310708,-1,13,2411.38
94.6551,57.4391,41.6117,35.2259,59.0887,0.652526,72.1213,-2.06925,1,13,43.9487,1.42813,96.9213,-0.0772069,-1,13,26.7349,0.598006,31.6594,2.03662,1,11,0
91.4174,289.253,32.5491,91.4959,234.007,-0.474248,260.819,2.20004,1,11,205.192,0.293573,214.098,-0.651209,-1,13,89.4637,-0.232705,91.897,-0.233661,1,13,1184.58
94.5078,167.659,66.0357,97.2788,170.782,1.30932,339.313,-2.55254,-1,11,169.948,1.24193,318.747,0.883857,-1,13,21.6567,0.944155,32.0482,-0.856451,1,13,1159.88
95.9463,123.091,58.7106,35.5364,88.8391,-1.74552,262.229,1.81346,-1,13,67.2229,-1.76166,201.462,-3.13039,1,13,29.1496,0.368211,31.1482,-0.835887,-1,13,2394.6
91.5284,83.5362,68.598,37.469,61.8779,2.08196,251.994,-2.23419,-1,13,28.0121,-0.222572,28.7088,2.29458,1,11,24.2728,0.115939,24.4363,-1.68378,1,13,1325.06
92.8215,87.4959,43.1961,45.6722,60.0571,-2.17411,267.497,-1.23457,1,13,53.5681,-1.19201,96.3501,0.151929,-1,13,20.3451,-2.22088,94.8484,-3.05322,1,13,1041.45
87.738,16.04,35.3769,63.6871,45.2256,-0.530762,51.7469,2.25194,-1,13,37.3241,-1.33128,75.5817,-1.23106,1,13,34.5074,-0.240588,35.5111,-0.277982,-1,13,2391.47
91.5189,32.7909,36.0321,97.07,67.9949,2.08002,276.383,-1.79935,-1,11,55.8571,1.75357,166.128,-0.0316872,1,13,37.3922,2.34627,197.1,2.50793,-1,13,2450.93
89.4633,42.7306,37.3708,54.5684,51.597,-1.87699,172.511,-0.482026,1,13,35.2092,-0.805257,47.2552,-2.66101,-1,13,20.2952,-1.36094,42.1763,-2.90136,-1,11,960.196
92.6882,141.362,65.2146,77.1134,124.47,-0.947652,184.67,-0.64002,1,13,43.9872,-1.13678,75.6045,-1.97526,-1,13,23.3088,0.924827,34.008,-1.2174,1,11,1031.62
89.5655,45.047,40.9334,38.8951,62.5546,-0.671822,77.2106,1.062,1,13,29.5432,0.2198,30.2599,-2.80862,-1,13,28.6724,-0.687381,35.7171,-1.80409,1,11,-1977.63
88.4958,38.0034,36.4393,59.8086,58.3618,-0.141236,58.9449,2.0428,1,13,30.0838,-2.03343,116.893,0.380696,1,11,21.4046,-1.54911,52.6522,-1.35001,-1,13,1701.45
91.6693,47.3543,35.1757,36.3735,65.494,1.05795,105.695,3.04879,1,13,36.7651,0.778887,48.4926,0.694524,-1,13,23.1759,0.416918,25.2197,-0.0344351,-1,13,-1980.03
88.7657,38.0602,48.1498,38.1174,59.005,1.4945,138.115,-0.874365,1,13,31.0559,0.700604,38.9948,2.88029,-1,13,30.3375,0.174698,30.8016,1.68368,1,11,-354.679
92.1181,50.6738,44.3877,52.5829,73.9003,0.608927,88.0298,-2.09853,1,13,27.8644,-1.25867,53.0089,0.826372,1,11,23.2311,1.54544,56.9541,1.02659,-1,13,1556.41
92.9314,180.175,37.0601,52.2298,140.799,-1.83375,451.76,0.481497,1,13,75.0458,-1.53449,182.156,3.02157,-1,11,59.723,-1.50978,141.743,1.48254,-1,13,1014.59
86.6422,31.9644,31.2178,55.2294,59.3854,1.2024,107.742,2.11824,1,13,32.8303,1.08969,54.3288,-1.42907,-1,13,28.6811,2.32916,148.664,2.7481,-1,11,2158.57
90.7002,61.0883,44.0453,64.7512,81.1903,0.302847,84.9422,2.63495,1,13,49.3448,-2.29684,247.792,-0.955833,-1,11,26.8478,0.663119,32.9704,-1.1136,-1,13,2113.53
