mLL,ptLL,etmiss,mtw,lep1_pt,lep1_eta,lep1_E,lep1_phi,lep1_ch,lep1_ID,lep2_pt,lep2_eta,lep2_E,lep2_phi,lep2_ch,lep2_ID,lep3_pt,lep3_eta,lep3_E,lep3_phi,lep3_ch,lep3_ID,weight
88.094,53.1395,37.7586,50.3183,46.603,-0.975493,70.5915,-2.77935,1,11,32.1655,0.574092,37.6133,-1.08057,-1,11,22.2038,-0.710587,28.0496,-1.10019,1,13,1.10679
88.6456,465.393,33.787,127.34,418.3,0.021977,418.401,-2.6463,1,11,362.643,-1.35757,751.401,0.292496,1,13,102.965,-0.908486,148.46,0.365688,-1,13,0.603158
88.7564,42.56,36.2238,36.9486,62.0683,0.59653,73.4431,-0.576578,-1,11,30.334,1.35971,62.9702,-3.05235,1,11,24.8114,2.21481,114.987,0.536015,-1,13,1.1057
86.516,110.131,55.2864,40.4644,80.0821,0.330185,84.4873,-0.989873,1,11,30.6421,1.89631,104.358,-1.22137,-1,11,21.3646,-0.936421,31.4367,-3.06076,1,13,0.565148
88.4754,41.5092,55.1722,57.065,58.7114,-0.132161,59.2249,2.86036,1,13,31.1966,0.735451,40.0209,-1.02443,-1,13,21.5306,-0.868006,30.1638,2.60312,-1,11,2.13391
94.8282,72.7972,51.5574,44.5408,76.0559,1.98269,281.405,-2.5616,-1,11,31.0515,0.938127,45.7475,-0.678946,1,11,24.4374,-0.11848,24.6094,2.68598,1,13,0.776282
90.1483,121.693,30.5069,112.527,151.456,-1.77597,460.073,-1.52844,-1,11,84.2117,-2.01026,319.973,1.62441,-1,13,47.5579,-0.890165,67.6778,0.802913,1,13,1.51408
92.3594,23.1052,30.6574,39.3229,30.7335,0.778456,40.5255,-2.20965,1,11,29.4101,-1.28835,57.3867,0.144499,-1,11,28.191,0.0671183,28.2545,1.22355,1,11,0.57404
92.1261,84.3277,38.818,57.2807,76.1472,-2.11916,321.504,0.135777,1,13,48.4575,-2.25872,234.421,1.84733,-1,13,21.2984,-0.829021,29.0462,-0.544251,-1,11,1.00265
90.8731,69.3951,33.3552,33.3738,66.6078,-0.368283,71.1762,-2.5377,1,11,34.8826,-1.65203,94.3438,-0.740782,-1,11,22.8143,-2.00667,86.3862,2.12815,-1,11,1.0128
94.4072,21.6554,71.3771,31.0601,56.3518,-0.800031,75.3684,-0.954141,1,11,40.4935,-0.765877,52.9616,1.8775,-1,11,28.4505,-2.43527,163.683,-2.5298,1,11,0.71292
94.0988,46.5287,46.0355,37.8954,52.9503,2.115,222.661,-1.39641,-1,13,51.9993,2.07219,209.768,2.66366,1,13,39.0476,1.95337,140.458,1.39462,1,11,1.22462
89.596,56.1684,33.7527,52.0539,66.9803,0.419708,72.967,-0.158495,1,13,33.4436,-0.266639,34.6397,-2.30789,-1,13,24.7074,1.84174,79.8796,-0.932318,-1,11,-0.60257
85.2498,109.902,32.8631,34.0516,74.59,0.598198,88.3384,1.00164,1,11,47.4949,-0.469952,52.8369,0.075714,-1,11,26.6822,-1.11816,45.1742,3.10293,1,11,0.522132
88.9344,54.709,35.1982,40.4712,66.6344,-1.74412,196.428,-1.16881,-1,13,35.8576,-1.3389,73.0957,1.01078,1,13,23.077,-1.39041,49.2173,-0.136776,1,13,-1.17146
91.4639,122.068,33.1732,72.3311,99.5162,-1.03029,157.175,-0.8562,1,11,39.428,-0.625864,47.4056,2.1638,-1,13,29.3635,-2.42399,167.069,-0.0713804,-1,11,0
100.063,128.739,54.8342,34.0053,138.16,1.69066,387.364,2.36758,1,11,31.9098,-2.043,125.141,-0.18591,-1,13,24.8882,1.71181,71.1745,-1.87165,-1,11,1.41368
94.4897,40.7073,38.5295,36.1437,53.2542,-0.903732,76.5225,-0.480312,-1,11,49.4991,-1.00515,76.6819,1.84971,1,11,21.3177,-1.80619,66.6336,2.99001,1,13,0.191362
91.8136,121.359,34.6855,36.2523,95.1916,1.26873,182.65,0.742499,1,11,56.9662,1.23588,106.298,2.08812,-1,11,23.8421,0.768931,31.2447,-0.915085,-1,11,0.653796
91.611,68.9211,33.7879,37.1393,64.6888,0.503536,73.0645,2.30118,1,13,35.9877,1.58635,91.5986,-2.25385,-1,13,26.1992,1.26571,50.1408,0.868996,1,13,-0.38408
96.7425,53.3534,73.9325,45.3847,77.0167,1.21585,141.312,-2.80888,1,13,35.716,1.3769,75.2705,1.75584,-1,13,32.4811,0.923154,47.3329,0.928913,-1,13,1.43411
90.6239,75.7521,39.0731,36.1655,60.6037,0.257847,62.6295,-1.23107,-1,11,33.0365,1.73012,96.113,-2.55612,1,11,21.5403,-1.56156,53.5929,0.511149,1,11,1.49469
84.9655,23.0186,41.9081,127.1,98.162,-0.480407,109.709,1.97471,1,11,53.3226,1.83088,170.623,-1.56543,-1,13,34.6594,1.7647,104.169,1.26145,1,13,0.928871
88.5788,290.8,41.7626,52.6558,225.676,-0.381691,242.316,-1.30885,1,11,65.2743,-1.09237,108.25,-1.23168,-1,11,23.1282,1.00709,35.8825,1.88592,-1,13,0.59672
84.375,24.3647,44.2242,57.2035,56.0726,0.997732,86.3754,-2.17674,-1,11,31.744,0.973848,48.0246,0.933443,1,11,21.0017,0.0136696,21.0039,1.99208,1,13,0.554101
94.705,58.1564,79.7568,33.0051,69.4145,0.31261,72.834,1.32393,1,11,41.7174,0.294953,43.5452,-2.80792,-1,11,20.912,-1.04367,33.3733,2.09241,-1,11,1.33207
94.6825,56.2024,50.7021,107.625,78.4839,-0.951892,116.808,0.687314,-1,13,60.2019,-1.53584,146.306,2.05673,1,13,23.6348,-1.87476,78.8537,-2.16867,1,13,-1.27008
90.6766,6.7706,42.2283,61.2871,34.7813,-1.72406,100.615,-2.00231,1,11,29.0787,-2.00254,109.668,1.65767,1,13,24.2713,0.256889,25.0767,-1.30422,-1,13,-1.15974
94.8212,232.266,82.5003,34.3294,182.491,-0.514066,207.139,1.44757,-1,13,174.487,-0.746641,225.425,-1.85644,-1,11,50.9753,-1.4334,112.947,1.69336,1,13,-0.904854
98.4555,369.42,71.2574,46.4068,279.719,-1.01636,437.066,-1.20967,1,11,247.418,-1.19043,444.438,2.13196,-1,13,134.786,-1.24079,252.554,1.58851,1,13,1.22824
87.8256,51.7861,37.3031,47.0535,62.6234,1.58077,158.578,-1.54683,1,11,34.3656,2.24609,164.207,2.56821,-1,11,20.5576,1.78955,63.2538,0.0376626,1,11,0.531723
91.5722,91.9033,32.0294,69.3564,86.5187,1.24986,163.365,1.82065,-1,11,86.2215,-0.371576,92.2427,-1.43152,-1,13,25.307,-1.69236,71.067,-2.91706,1,13,1.17321
94.242,30.0897,80.2802,70.8423,47.3124,1.31579,94.529,-0.809678,1,13,44.0268,0.505521,49.7733,1.66424,-1,13,26.3012,1.01753,41.1331,-2.41195,-1,11,0.644146
