mLL,ptLL,etmiss,mtw,lep1_pt,lep1_eta,lep1_E,lep1_phi,lep1_ch,lep1_ID,lep2_pt,lep2_eta,lep2_E,lep2_phi,lep2_ch,lep2_ID,lep3_pt,lep3_eta,lep3_E,lep3_phi,lep3_ch,lep3_ID,weight
90.0252,31.8348,33.5749,82.0607,63.2524,0.664121,77.7216,-1.10462,1,11,50.5622,0.449532,55.7576,1.91861,-1,11,32.0984,0.777708,42.3047,1.8915,-1,11,1
89.4721,44.9393,49.2198,46.6294,42.8017,0.33756,45.2635,1.33347,-1,11,41.7313,-0.382827,44.8269,-1.72542,1,13,28.3328,1.43599,62.9224,2.76322,-1,13,1
88.4945,21.6431,40.4448,82.3039,47.4371,-0.517642,53.9358,1.16242,1,13,37.4185,-0.884375,53.0304,2.6213,-1,13,27.3034,0.882534,38.6447,-1.12824,1,13,1
86.8078,9.98116,42.2518,75.8555,44.3911,0.255497,45.848,0.683586,1,13,41.0383,0.439638,45.0687,1.60158,-1,13,37.946,-0.475167,42.3111,-1.29895,1,13,1
93.7205,57.1484,33.7398,58.5698,83.4061,0.171076,84.6297,-1.36039,1,13,43.7122,2.02463,168.409,2.62911,1,11,26.2644,0.0714157,26.3316,1.79991,-1,13,1
90.7957,11.5853,43.4985,75.0137,39.1097,-1.20044,70.8403,-0.91599,1,13,32.6851,0.176832,33.1976,-2.22508,-1,13,27.7466,0.48909,31.1321,2.29417,-1,13,1
83.7175,124.986,70.9528,99.9622,97.914,-0.982622,149.112,0.421754,-1,11,51.8416,-0.78278,68.5522,1.6566,1,11,47.3164,0.827406,64.4582,2.71868,-1,11,1
94.9968,42.714,49.4394,65.2317,51.5395,1.80824,161.412,3.13018,-1,13,42.8736,0.903619,61.6013,0.910676,1,13,31.2472,1.98831,116.241,-0.263558,1,13,1
95.9121,21.2529,48.0407,82.295,50.8099,-0.7491,65.7452,3.08844,1,13,47.0687,-0.577564,55.1401,-0.484288,-1,13,43.041,1.59799,110.731,0.400577,1,11,1
93.1274,120.008,30.2342,90.6882,118.911,0.772327,156.174,-2.20506,1,11,88.2692,-0.492479,99.1916,0.171622,-1,13,60.9982,-0.110806,61.3731,1.47073,1,13,1
81.6607,67.0769,155.9,98.1575,54.063,-0.18147,54.9556,-0.961279,-1,11,37.4746,0.933147,55.0092,0.567016,1,11,29.3875,-0.360562,31.3185,1.83908,1,11,1
88.3753,133.643,205.643,313.619,134.603,-0.571716,157.207,-0.0991017,1,11,94.874,-1.86514,313.64,-1.05425,-1,13,62.8899,-2.22501,294.375,-2.20154,1,13,1
84.4659,46.1451,45.1694,75.6542,50.2687,-0.402485,54.3957,-1.81471,1,13,45.7318,-0.546437,52.7311,2.32564,-1,13,41.4278,-1.84966,134.95,-0.89664,1,13,1
91.2905,56.4754,55.1467,62.7726,60.4039,0.552106,69.8464,-2.85903,-1,11,36.6041,-0.0238514,36.6146,0.911708,1,11,32.4685,-0.598911,38.4678,1.45726,1,11,1
90.8657,39.8486,79.7841,82.9977,49.5977,1.17803,88.181,1.95343,1,11,47.4044,1.60494,122.741,-2.03369,-1,11,25.0198,0.618093,29.9532,-2.43899,1,11,1
91.9998,70.4975,82.4244,78.0354,93.0249,-1.56833,232.889,-1.0255,1,13,25.1401,-1.82151,79.7311,1.02024,-1,11,22.7348,-1.44259,50.7893,1.99849,-1,13,1
91.2997,82.5479,40.0762,70.2803,89.8337,0.507133,101.635,-2.07877,1,11,50.9309,-2.24864,243.968,-0.263872,-1,11,32.9226,0.342154,34.8686,2.22693,-1,11,1
90.2756,112.459,43.7637,77.5801,88.1947,1.28803,172.043,-0.721121,1,13,37.5736,-0.0968574,37.75,-2.45225,1,11,27.4798,-0.291773,28.658,-1.27843,-1,13,1
89.3533,40.2436,46.8963,62.0173,63.168,1.63318,167.882,1.06525,-1,11,24.621,0.57844,28.8562,-1.7821,1,11,24.4227,2.33514,127.337,1.94891,1,11,1
93.3532,279.88,66.0411,65.158,184.362,-0.831066,251.778,-3.12835,1,11,96.1791,-0.15785,97.3798,3.0102,-1,11,23.4554,-0.291405,24.4584,2.40853,-1,11,1
89.7555,256.357,39.1427,95.8789,149.256,1.79018,459.519,-1.66797,-1,11,109.25,1.1484,189.565,-1.40677,1,11,71.0818,1.03644,112.803,-0.830144,1,11,1
90.5877,36.5255,36.376,76.4191,57.3877,-2.16861,254.241,2.1747,-1,13,50.0584,0.359897,53.3355,0.486647,-1,11,45.8348,0.745128,59.1587,-1.87814,1,11,1
81.9117,142.367,49.2105,89.6608,139.209,-0.692662,173.961,-2.69122,1,11,42.2422,0.10507,42.4758,-2.70777,1,13,20.9978,-0.0347155,21.0104,2.09793,-1,11,1
98.996,60.9593,46.1561,75.8483,61.0008,1.73025,177.491,2.50595,-1,11,54.6356,1.52242,131.166,0.469975,1,11,34.0965,1.22675,63.1359,2.24532,-1,13,1
90.6148,95.1229,58.8001,69.9732,94.1745,-2.20633,432.848,-1.55479,1,13,45.8613,-2.38099,250.13,1.17251,-1,13,35.462,-1.8398,114.439,0.178119,-1,13,1
88.3194,61.2571,87.2941,71.4874,82.7829,1.61661,216.665,2.85592,-1,11,62.4758,1.28601,121.662,-0.0831274,1,11,24.5803,1.7294,71.4629,0.141019,1,11,1
93.7678,22.3059,43.3962,62.7477,50.6204,-0.233538,52.0072,2.67164,-1,13,30.7702,-1.46282,69.9975,-0.728475,1,13,22.7045,0.941474,33.5323,2.98484,1,11,1
92.3981,43.5209,35.2752,52.9495,54.5732,1.25134,103.174,-1.37203,-1,11,40.3536,2.03429,156.927,2.67687,1,11,32.6189,2.42235,185.293,2.35827,1,13,1
87.1756,46.8372,64.7692,75.8818,61.3499,-0.949069,91.117,0.0622421,-1,11,37.5626,-0.884489,53.2388,2.33642,1,11,23.5257,1.71544,67.5072,1.53712,1,13,1
88.6572,39.8118,30.5738,73.7545,51.5013,-1.14034,88.7763,-2.87927,-1,11,45.8016,1.90512,157.306,1.4339,1,11,43.1404,-0.67585,53.3739,1.11358,1,11,1
89.8529,72.3142,54.8161,76.4896,92.1195,-0.863676,128.667,-2.08052,-1,13,27.0069,-1.98276,99.9319,-2.78282,1,13,21.3397,-1.32713,43.0576,0.725295,1,13,1
90.4927,27.1545,33.4996,60.5907,39.9189,-2.37625,216.706,2.76186,-1,13,30.9316,2.42159,175.576,0.360268,-1,11,23.8954,-0.438279,26.2276,0.345911,1,13,1
85.1281,57.6207,44.0343,70.2497,76.0205,-2.40375,424.002,2.03474,1,13,29.579,-0.877122,41.7058,-2.74321,-1,13,24.2746,-1.88503,81.786,-0.507881,-1,13,1
93.5163,53.9663,126.242,81.0495,75.4811,2.142,325.849,-0.99935,-1,11,27.0065,1.13179,46.2305,-0.57005,1,13,22.509,1.09109,37.2905,1.89143,1,11,1
85.1078,32.2096,60.8674,93.9261,52.1502,0.118864,52.519,-2.05186,1,11,37.6991,-1.73514,110.196,3.03499,1,13,24.6014,-1.15757,43.0085,1.55998,-1,11,1
87.7623,36.0727,40.8661,49.3551,52.7593,-1.92035,183.864,-3.01105,1,13,41.4866,-2.15504,181.382,-0.619324,-1,13,26.7345,-0.346026,28.3511,2.02084,-1,11,1
89.8855,48.033,99.7489,38.6855,51.7679,1.08552,85.3838,0.0146798,-1,11,43.5634,2.00092,164.039,-1.31372,1,13,30.4247,0.291589,31.7275,0.453084,-1,13,1
83.1682,62.8203,46.7557,82.6677,56.4514,2.1009,234.156,-0.438152,-1,11,54.921,-0.170755,55.7238,2.29531,1,13,24.3161,1.48601,56.4828,0.851703,-1,13,1
88.4025,19.9626,47.4062,72.5189,38.3875,-0.579357,45.0123,-3.05808,1,13,37.2257,0.661194,45.6638,-0.449975,-1,13,27.7354,-1.85616,90.9083,-1.64107,1,13,1
90.3255,99.7192,36.3219,61.4115,62.5589,0.430805,68.4545,-2.80621,-1,11,62.5338,1.20352,113.561,2.18055,1,11,26.3694,0.911081,38.092,-2.64187,1,13,1
84.9393,78.991,144.358,68.6622,62.5534,-0.100777,62.8713,2.60802,-1,11,42.2123,0.831383,57.6608,-0.0669524,1,13,25.3201,1.59215,64.7914,-2.66545,1,11,1
90.6006,87.0826,63.9141,58.0585,70.9309,0.446689,78.1258,-0.66035,1,11,47.4518,-0.264889,49.1263,-2.18649,-1,11,24.133,0.120035,24.3071,0.873409,-1,11,1
88.0598,49.7693,48.1832,87.401,58.9512,-2.29639,295.902,-0.6096,1,11,41.2824,-2.06573,165.497,1.39329,1,13,40.0402,-0.695895,50.1331,-3.06517,-1,13,1
92.9865,41.1655,30.9353,58.2369,67.8441,1.85558,222.249,1.60138,-1,13,34.5561,0.104342,34.7444,-2.96485,1,11,26.701,1.00192,41.2624,-1.50832,1,13,1
92.4421,15.0962,77.5629,83.7511,50.7025,-0.609901,60.4285,1.75154,1,11,41.4034,-0.240365,42.6053,-1.12976,-1,11,24.6079,-1.32316,49.4812,-2.24176,1,13,1
83.0223,81.2735,44.7168,34.187,79.2928,-0.255614,81.8974,-0.0122992,-1,11,44.5421,-0.335413,47.0713,2.26072,1,13,29.2284,-1.09274,48.4861,-1.69905,1,11,1
92.6834,39.3426,31.3655,69.9984,47.8959,2.24719,229.106,-1.21007,-1,13,40.9931,-1.71134,117.179,0.157386,1,11,39.7519,-0.332975,41.976,2.28154,-1,11,1
94.1055,61.4957,79.2451,78.8436,40.5378,-1.2627,77.3834,-1.55243,-1,11,23.0287,-1.36778,48.1451,-2.66269,1,13,21.679,1.21312,39.6857,-1.87239,1,11,1
91.6804,51.0189,30.59,83.8825,64.7248,0.757657,84.2082,-1.57268,1,11,58.6602,0.296026,61.2494,-0.14912,1,13,32.3984,1.59933,83.4539,2.46005,-1,11,1
91.3666,254.234,53.8596,60.501,220.185,-0.0694249,220.716,-1.10884,1,11,34.4418,-1.06444,55.8667,-0.946456,-1,11,25.635,0.0489842,25.6658,2.01462,-1,11,1
89.5503,39.4388,61.005,76.1798,54.9842,0.48212,61.4992,0.218303,1,11,26.5729,-0.292949,27.7213,-1.31011,1,11,25.8663,-0.87323,36.3711,-2.20244,-1,11,1
83.9492,48.2768,54.2426,80.6496,68.0391,1.1164,115.03,-0.0130616,1,13,41.7671,0.0843525,41.9159,-1.78077,-1,13,27.4351,1.4894,63.9229,2.5145,-1,13,1
90.3784,9.1824,44.9464,73.7757,33.9415,0.844265,46.7738,-1.4949,1,11,31.423,-1.79774,97.4373,-1.1344,1,11,25.032,-1.16879,44.1671,1.57045,-1,11,1
