mLL,ptLL,etmiss,mtw,lep1_pt,lep1_eta,lep1_E,lep1_phi,lep1_ch,lep1_ID,lep2_pt,lep2_eta,lep2_E,lep2_phi,lep2_ch,lep2_ID,lep3_pt,lep3_eta,lep3_E,lep3_phi,lep3_ch,lep3_ID,weight
93.2144,111.631,85.3835,91.8205,110.334,-0.510851,125.047,0.367777,-1,13,52.4826,1.11978,88.9718,2.89504,1,13,21.7999,0.659865,26.7209,-1.24201,1,13,0.163697
93.3064,39.7889,57.6393,204.026,180.681,-1.16501,317.804,0.602696,-1,11,62.3664,-1.09084,103.3,-1.43462,1,13,25.3348,0.116665,25.5077,1.33876,-1,13,0
83.8753,37.093,87.699,118.165,45.5372,0.455084,50.3345,2.56819,1,11,41.1785,2.4116,231.453,-1.81464,-1,13,33.6107,1.57922,84.9897,-1.50446,-1,11,0.377133
90.6403,9.2433,99.4412,66.4041,28.4647,-0.942209,42.0625,-0.889624,1,13,23.694,-0.732694,30.3438,-2.37898,1,13,20.8156,1.95829,75.2309,1.16076,-1,13,0.0873676
97.2743,117.607,56.2982,105.039,125.878,0.75211,163.191,0.319421,1,11,54.5844,-0.0184767,54.5937,0.568222,-1,11,20.1266,1.60888,52.3021,2.38792,-1,11,0.155032
96.3802,56.3121,41.6003,124.131,118.215,0.677514,146.4,-0.878756,-1,11,75.1063,1.34296,153.646,-0.0669149,1,11,20.3586,-0.0268379,20.3659,2.73598,-1,11,0.0567865
93.1546,10.7514,59.2934,70.757,47.7317,0.485995,53.4806,-1.98152,1,13,38.0497,-0.375925,40.7702,1.05033,-1,13,32.2765,2.20555,148.237,2.21636,-1,13,0.136537
85.301,44.3088,147.371,41.7863,72.7637,1.03652,115.478,-1.94108,-1,11,64.3909,1.79194,198.573,1.25194,1,11,20.525,0.621005,24.6116,-2.06178,-1,11,0.145349
87.3115,17.1531,146.439,109.156,41.1036,-0.139509,41.5043,-3.11974,1,13,30.2061,1.25509,57.2891,0.400043,-1,13,30.0846,-0.292738,31.383,-1.80009,-1,13,0.0680983
90.5376,7.15227,49.2202,48.0935,42.6965,0.913901,61.803,1.88496,-1,11,36.3614,1.99494,136.133,-1.34092,1,11,30.5695,-0.454768,33.7856,1.35468,1,13,0.112087
100.64,49.7872,35.3437,97.4607,75.3634,-0.453844,83.259,0.543097,1,11,55.981,1.09924,93.3487,0.486661,-1,11,50.6952,1.74559,149.647,-1.68846,1,11,0.123459
