mLL,ptLL,etmiss,mtw,lep1_pt,lep1_eta,lep1_E,lep1_phi,lep1_ch,lep1_ID,lep2_pt,lep2_eta,lep2_E,lep2_phi,lep2_ch,lep2_ID,lep3_pt,lep3_eta,lep3_E,lep3_phi,lep3_ch,lep3_ID,weight
84.6421,129.007,134.738,67.3359,84.9283,-0.762946,110.869,-3.09515,1,11,69.0115,-0.626213,82.9907,-1.93389,-1,11,31.1067,-0.370086,33.2613,2.79391,-1,11,0.677227
90.1959,20.2749,54.8276,79.9295,32.688,1.96562,118.975,-1.66338,1,13,25.244,1.87354,84.1238,0.205284,1,13,24.9039,-0.569429,29.052,2.51455,-1,13,1.17193
90.8109,54.6437,95.3019,149.468,63.3237,0.137688,63.9249,-2.71831,1,11,30.7967,-0.774049,40.4926,-1.28528,-1,11,27.2657,1.64839,73.4946,-0.594212,1,11,1.08581
91.7614,43.5629,47.9771,57.3076,57.2736,-0.570952,66.8652,2.66579,1,13,42.4921,-0.186248,43.2313,0.38081,-1,13,25.3978,-2.315,129.83,-0.53038,-1,13,1.00673
99.0003,94.4981,65.4745,72.1888,85.8229,0.485284,96.1285,0.0757745,-1,13,26.8841,-0.992805,41.2582,-1.31162,1,13,21.5764,1.28512,41.9845,-2.41162,1,11,0.750583
96.8714,67.4661,52.5598,82.8522,56.2056,0.569781,65.5788,-2.79882,1,13,41.6368,-0.603955,49.4642,1.58994,-1,11,21.3077,-1.57049,53.4497,-1.63067,-1,13,1.14994
101.036,153.37,98.7792,62.8482,154.688,-0.217932,158.376,-2.0946,-1,11,39.0902,0.860129,54.4639,1.98113,1,13,21.4055,0.66022,26.2426,-0.392927,1,11,0.573599
97.0734,170.172,87.307,225.792,146.606,-1.74766,433.612,-0.826697,-1,13,144.046,1.08079,236.69,3.00244,1,13,29.3043,2.39013,161.269,-2.76653,-1,13,0.894025
94.5092,63.5671,60.6336,83.2697,82.2932,-0.73761,105.713,-0.827175,1,11,41.0103,0.071026,41.1139,2.79386,-1,13,28.2993,-0.180365,28.7609,3.02441,-1,11,0.559021
92.2941,72.0208,77.8134,40.2811,70.2309,-0.0550144,70.3372,1.10788,-1,13,20.8717,1.65083,56.387,-0.524697,1,13,20.3596,-1.25236,38.5247,0.136356,1,13,0.555842
82.329,42.6672,128.461,58.1305,57.4187,-2.41044,322.365,-2.05275,1,11,25.3039,-0.471272,28.1665,-2.95754,-1,13,22.4792,-1.17965,40.0199,0.393255,-1,11,0.602581
100.872,8.30885,82.5847,92.887,54.3887,1.90019,185.92,-0.0629284,-1,13,46.2403,1.68411,128.855,3.11106,1,13,29.9298,2.46731,177.715,-2.51701,-1,11,0.955582
92.3727,52.3829,79.6922,64.9342,63.2808,0.505293,71.5327,-1.5579,1,13,45.151,0.320672,47.4925,-0.259135,-1,13,35.5359,1.30387,70.2721,2.55884,-1,13,0.539365
93.3204,12.9221,71.6739,70.712,42.2222,-0.291363,44.0272,-1.246,-1,13,40.3227,0.760052,52.5411,1.58457,1,13,23.2039,1.21102,42.4028,-2.70898,-1,13,0.864103
84.8022,31.1214,76.06,76.3444,45.6749,-0.466825,50.7429,0.029378,1,13,37.0657,0.387878,39.8893,2.42709,-1,13,23.4682,-1.39341,50.1846,-2.97636,-1,13,0.694625
83.6079,81.4195,55.2082,151.666,124.78,0.481355,139.517,2.02925,-1,11,90.1442,0.249712,92.9694,0.765322,1,13,23.6293,0.805446,31.7176,-1.3089,-1,13,1.1585
84.8865,49.0564,57.4908,121.107,66.6793,0.0289514,66.7073,-3.03652,1,11,54.2301,1.76645,163.259,-1.39052,-1,13,35.142,0.8731,49.4093,0.663016,1,13,0.591745
91.6555,130.708,88.8792,123.611,127.102,-0.45768,140.649,2.21296,-1,13,43.6319,-0.425682,47.6451,-1.87517,1,11,20.6352,-1.57909,52.173,-2.59559,1,13,1.66924
93.7989,80.4853,74.9782,47.4075,51.5731,1.12291,87.6517,-1.01981,1,11,48.5781,0.440191,53.3612,1.08549,-1,13,47.5778,-1.03703,75.538,2.24349,1,13,0.625328
97.9128,108.689,35.8914,30.9208,95.9426,1.77317,290.672,1.55827,-1,11,47.2738,0.967673,71.1891,-2.23874,1,11,24.4281,0.217603,25.0088,0.431046,1,11,1.10084
93.9718,91.462,50.2766,61.5512,103.72,-0.213478,106.093,0.958967,1,13,30.0747,0.839522,41.3103,-0.117693,-1,11,23.7965,-0.819769,32.2505,-3.11067,-1,13,0.684003
96.3135,81.3375,77.5542,92.3771,66.5099,1.40613,143.836,-2.15443,1,13,37.3402,0.0730314,37.44,-0.744982,-1,13,30.956,-0.78308,40.9424,-1.47462,-1,11,1.09621
100.997,17.2521,53.1463,71.8518,57.4757,0.446153,63.2917,-2.83143,-1,13,40.5799,1.05219,65.1933,0.237914,1,13,34.8753,0.415464,37.9287,2.10384,1,11,0.890538
90.3609,51.4182,83.7643,93.1412,75.5377,-0.772636,99.2286,-2.24115,-1,11,26.2181,-2.18608,118.147,-1.51604,1,11,25.9764,-1.27408,50.0708,0.590072,1,11,1.05104
100.265,54.6025,45.0839,62.4704,45.807,-0.562881,53.2573,2.97205,1,13,30.2519,0.673468,37.3757,-3.01035,1,11,22.8351,1.72511,66.1225,1.57503,-1,13,0.565663
84.5489,45.4235,73.034,83.368,67.3031,-0.73381,86.2517,-2.27381,1,13,30.744,-2.26287,149.334,1.06659,-1,13,27.0861,-1.13836,46.6149,1.36753,-1,13,1.13724
96.9308,58.9363,203,113.613,96.9497,-0.433646,106.209,-1.42079,1,11,74.5351,-1.28699,145.267,0.258302,-1,11,38.1947,-1.52428,91.8511,2.50025,1,11,1.13152
93.158,39.1757,65.353,62.2589,69.0511,-1.98401,255.812,-0.630742,1,11,44.5879,-1.17981,79.3912,-2.68755,-1,13,30.1434,-2.40457,168.26,2.61115,-1,11,0.634141
92.7978,31.0195,57.6445,66.6655,54.8027,0.100367,55.0789,-2.5937,-1,11,27.6237,1.36865,57.7957,0.934543,1,11,26.3849,0.0171191,26.3888,0.147999,-1,11,1.0806
100.11,21.9068,42.1887,81.2137,50.479,-1.91601,175.187,2.78467,-1,13,41.9337,-1.58356,106.46,1.07625,1,11,29.5354,-0.405551,31.9979,-0.523497,1,13,1.1369
