mll12,mll13,mll23,ptll12,ptll13,ptll23,met_et,mtw1,mtw2,mtw3,lep1_pt,lep1_eta,lep1_E,lep1_phi,lep1_ch,lep1_ID,lep2_pt,lep2_eta,lep2_E,lep2_phi,lep2_ch,lep2_ID,lep3_pt,lep3_eta,lep3_E,lep3_phi,lep3_ch,lep3_ID,weight
66.34,56.9657,9.59549,14.6437,21.1976,47.5668,12.728,37.8511,22.8199,22.5651,39.3503,-0.815178,53.165,2.10329,1,13,26.4621,-0.298588,27.6507,-0.822445,-1,13,21.2734,-0.663943,26.1371,-0.653293,-1,11,0.0365138
71.9673,21.8539,49.9099,110.618,103.851,45.936,3.63694,0.860986,9.58879,3.04186,84.3363,1.34653,173.067,-2.07814,-1,11,34.6223,0.333105,36.5609,-2.91189,1,11,20.845,1.68191,57.9682,-1.67782,-1,11,0.0755067
70.5323,115.41,107.112,96.9783,22.7921,56.8817,32.7287,82.8852,83.0352,31.5679,62.9998,0.319008,66.2328,-2.54549,1,13,54.4019,0.733185,69.691,2.53651,-1,13,40.3843,-0.743174,52.0594,0.652246,1,11,0.0469307
133.065,92.0956,116.915,56.3881,58.342,40.5009,2.24631,6.07437,16.8897,12.2196,73.2116,0.659911,89.7398,1.97786,1,11,32.7218,2.42866,187.035,-0.338707,1,11,25.9055,-0.340352,27.4205,-1.9694,-1,11,0.0710087
96.7096,90.6603,107.209,21.3397,53.8219,49.5519,20.5065,51.7186,38.0719,2.40259,53.8038,-0.178656,54.6647,1.12746,-1,11,34.8638,-1.15768,60.9548,-1.78663,1,11,32.5584,1.16334,57.1894,3.00506,1,11,0.225925
87.9026,201.146,102.569,76.0907,104.17,5.06473,36.0893,75.7458,25.2209,51.5409,90.7306,-0.913543,131.298,-1.53565,1,11,25.0603,-0.694891,31.3581,0.776329,-1,11,21.0809,2.1886,95.2304,-2.50168,-1,13,0.038091
72.5859,36.1021,46.4763,140.853,132.003,112.993,50.7274,80.7225,109.379,66.6895,83.6204,-1.78782,256.872,-0.727866,-1,11,72.8066,-1.46531,165.996,-1.63023,-1,13,48.6616,-1.24482,91.4914,-0.862616,1,13,0.128384
96.6186,84.1576,67.475,102.852,31.2412,29.8283,42.3935,91.6547,90.4594,22.1523,52.7975,-2.01088,200.73,1.41731,1,13,50.1989,-0.33883,53.1082,1.3113,-1,13,22.5794,-0.695727,28.268,-1.49413,1,11,-0.0584402
134.149,91.1236,183.062,35.0571,63.594,41.4284,13.3021,53.9506,8.63635,33.0521,56.1875,0.380959,60.3143,-2.18932,-1,13,50.9237,-1.1201,86.3513,0.292411,1,13,31.9491,1.84412,103.527,2.48585,1,13,0.0787214
89.5452,153.205,129.615,41.3973,39.7224,60.2848,34.2645,91.2312,29.9028,18.4936,61.2475,-1.90426,210.182,2.56679,1,11,35.1017,-2.35733,187.046,-1.28164,-1,11,25.6735,0.66445,31.5524,-1.02427,1,11,0.00591252
81.5026,49.1964,77.9164,8.48846,70.9624,25.8076,15.7254,14.2138,49.7759,22.4719,40.8606,1.98112,150.954,1.35513,-1,11,40.6923,1.7855,124.727,-1.99497,-1,13,32.1488,0.782191,42.4953,1.83333,1,13,0.0767278
88.4725,56.418,47.3242,38.8666,42.7641,45.008,35.3544,50.4735,77.845,22.9842,50.7351,0.403532,54.9224,-2.77877,1,13,45.0883,0.143269,45.5519,1.19022,-1,13,20.0071,0.31885,21.0328,-0.608414,1,11,0.0291611
943.794,417.37,92.3724,23.1227,374.876,486.492,32.1498,37.4466,228.97,98.1301,440.85,0.414328,479.235,1.43791,1,11,417.78,-0.470993,464.982,-1.70007,1,11,75.2674,-0.729441,96.1954,-1.24427,-1,11,0.0483833
136.058,93.0717,46.9139,49.9519,34.3341,34.2532,36.5088,81.4308,13.9982,36.4051,52.6785,1.22267,97.2102,-2.75894,1,13,28.7018,-1.21322,52.5463,-0.81455,1,11,24.4071,-0.351183,25.9279,0.9329,-1,13,0.0828231
87.2555,88.5742,43.4666,55.3692,74.3453,48.4142,11.1462,51.5048,5.86958,6.6065,75.4981,-2.33966,395.385,-1.23837,1,11,27.7033,-2.45675,162.791,2.52439,1,13,24.2124,-1.05907,39.1088,-3.01828,-1,11,0.0739517
91.4536,183.597,99.5411,239.048,150.742,61.3597,33.7502,156.309,87.7553,1.48749,182.318,0.516252,207.158,-2.47358,-1,11,72.4054,0.299322,75.6732,-1.68779,1,11,32.4963,-0.720919,41.313,0.451523,1,11,0.0435005
92.7038,65.8234,87.0429,88.0747,45.121,29.8584,48.8329,105.548,78.5108,27.2182,57.1205,1.19532,103.023,-0.792608,-1,11,32.0528,-0.665988,39.4278,-0.465028,1,11,20.9495,1.6691,57.567,1.548,-1,13,0.0532008
