mll12,mll13,mll23,ptll12,ptll13,ptll23,met_et,mtw1,mtw2,mtw3,lep1_pt,lep1_eta,lep1_E,lep1_phi,lep1_ch,lep1_ID,lep2_pt,lep2_eta,lep2_E,lep2_phi,lep2_ch,lep2_ID,lep3_pt,lep3_eta,lep3_E,lep3_phi,lep3_ch,lep3_ID,weight
159.117,91.5218,85.9747,33.5731,109.635,85.7786,78.9538,120.548,110.821,126.204,92.0437,2.20582,422.843,1.18685,1,11,63.37,1.58881,161.66,-2.1839,1,11,50.5769,2.31499,258.538,2.65113,-1,11,619.148
165.898,84.3452,90.9367,80.5255,158.292,43.951,12.7152,38.0519,45.867,0.912275,131.975,1.09013,218.474,1.90178,1,11,51.5364,0.870271,72.3157,-1.19455,-1,11,41.7232,1.68392,116.247,2.90742,-1,11,2165.65
147.758,89.1371,93.4711,37.7283,124.3,67.2586,17.2066,5.20405,62.6472,32.4449,95.0409,-0.893986,135.617,-0.717944,-1,11,57.4411,-0.863466,80.2184,2.46577,-1,11,54.9793,-1.30377,108.713,-1.95788,1,11,2115.41
104.067,158.456,93.4445,208.87,150.256,27.5438,25.7148,131.534,50.7877,18.2733,179.355,-0.0770287,179.887,2.28392,1,11,42.2275,0.741057,54.3629,-3.12134,-1,11,29.6141,-0.92141,43.1002,-0.686804,1,11,1583.46
237.203,112.237,80.2872,36.1343,99.9614,88.7908,15.538,72.2714,40.9932,15.5105,96.9935,-0.151516,98.109,1.25102,1,11,94.8191,1.23727,177.14,-2.26893,-1,11,24.2783,1.48812,56.5024,-0.320816,-1,13,2310.91
89.6572,76.5701,13.3318,39.5603,39.6482,43.147,16.574,61.9734,12.7498,9.33946,60.6817,-0.850975,84.0116,-2.72551,-1,11,22.1838,-2.17741,99.1257,0.167225,1,11,21.1257,-1.59475,54.1882,0.340602,1,13,2175
91.8919,81.348,54.0776,45.8898,33.2728,44.4285,22.7018,13.9075,45.7669,48.5939,47.0786,0.203881,48.0605,-2.43756,1,11,42.9017,1.25674,81.4817,1.77075,-1,11,26.7324,1.46382,60.8667,-0.0562586,-1,13,2148.83
104.54,93.4098,16.3026,37.7922,28.9729,53.9347,28.3241,53.2873,25.3822,35.813,54.0473,0.610557,64.438,2.85248,-1,11,29.7637,2.24363,141.878,-1.0278,-1,13,26.1294,1.98908,97.2747,-0.495641,1,11,2114.52
114.771,87.3196,98.9713,34.5039,65.5065,51.7003,19.6564,62.1914,13.6105,49.9321,64.0421,0.35541,68.1296,1.37205,1,11,48.2015,1.09446,80.0695,-2.3285,1,11,37.7755,-0.42483,41.2359,-0.45734,-1,11,1067.84
95.6756,77.6512,18.1212,40.0678,46.3869,50.5319,14.1487,61.8966,6.00425,4.35593,68.3476,2.12417,289.982,1.3049,-1,11,28.5447,1.30863,56.6799,-1.73251,1,11,22.0042,2.01499,83.9897,-1.7849,-1,13,-1605.3
94.0399,89.1146,56.883,62.5703,57.0347,43.1176,14.6106,19.1582,46.4782,31.5965,74.0363,1.65425,200.654,2.88038,1,11,38.606,1.81087,121.209,-1.26783,-1,11,27.9901,1.04811,44.8239,0.496072,-1,11,935.469
100.7,63.8767,89.8014,51.2413,25.5371,37.2176,36.2921,72.9045,18.5869,18.5579,45.38,-1.27626,87.6353,-1.29655,-1,11,25.9299,0.853021,35.9498,0.319314,1,11,20.7502,-1.88445,69.8724,1.62474,-1,11,1962.43
90.5834,89.9267,39.2742,27.0544,23.6684,71.264,16.0105,5.04993,50.2908,47.8909,53.4169,0.628626,64.3235,-2.45083,1,11,40.6909,0.821393,55.207,1.20861,-1,11,39.0994,0.424033,42.6675,0.275385,-1,11,689.458
133.305,88.8136,28.7869,27.8174,54.2273,61.0527,22.1149,72.1698,21.5249,33.2915,69.0565,0.274014,71.6653,-3.09424,-1,11,41.4309,1.65085,111.932,-0.013624,-1,13,25.0759,1.29502,49.2109,0.829453,1,11,2201.98
92.9282,85.3373,60.9105,53.6149,56.3617,38.8069,37.6726,102.244,10.282,27.3168,71.9423,0.941749,106.273,-2.85648,-1,11,27.9871,1.7865,85.8656,0.983397,1,11,21.044,-0.104116,21.1584,-0.34753,-1,13,2237.76
89.2037,107.066,58.228,72.4232,51.5639,49.3054,45.691,115.723,60.1364,11.9519,79.3072,0.68452,98.6246,-0.189125,1,11,34.7906,0.942107,51.4064,-2.18087,-1,11,28.913,-0.300415,30.2278,2.72391,-1,13,2278.61
88.1584,141.866,187.585,38.8978,20.5514,57.5008,14.0362,41.4526,41.5748,20.4742,47.8082,-0.919231,69.4698,2.87496,1,11,38.8392,-1.86222,128.04,-1.17602,-1,11,28.9843,1.60595,75.1169,-0.0446243,-1,13,1255.59
61.6549,57.3084,27.574,21.3496,18.9948,33.921,6.13708,23.599,19.2066,5.38853,31.3814,2.33388,163.416,-2.88122,-1,11,23.443,1.10788,39.3631,-0.487642,1,11,20.2559,1.16141,35.5235,0.880922,1,11,1496.19
87.8015,81.3825,47.0259,35.6825,38.8452,33.3005,18.1623,44.6222,43.7537,7.09002,45.3504,-0.182841,46.1106,-0.397193,1,11,32.2414,1.1415,55.6292,-2.64103,-1,11,25.1176,1.33457,51.0092,1.71734,1,13,3026.63
96.9305,74.248,10.3017,26.789,42.7768,57.9116,28.2721,15.8374,63.9697,47.1281,63.4683,-2.40557,354.629,-2.38763,1,11,36.9775,-2.30491,187.162,0.836258,-1,11,21.6656,-2.1437,93.6838,0.508574,1,11,1927.29
79.5933,111.878,141.251,24.9414,34.9926,39.2943,9.01115,38.6031,3.22034,19.6073,45.7985,-0.602295,54.3595,1.74347,1,11,25.3059,-1.80863,79.2831,-0.977409,1,13,23.4344,1.72396,67.7844,-2.2447,-1,11,2076.29
87.6281,75.7091,27.1996,57.3154,45.4167,52.8831,26.499,84.0057,32.7051,5.06566,66.664,-1.26407,127.404,-1.1945,-1,11,36.6247,-0.918088,53.1751,0.913867,1,11,21.5595,-1.352,44.4543,1.80675,-1,13,1311.26
92.9484,146.907,99.507,94.7945,97.8043,15.8612,43.3475,71.1759,86.2433,2.00112,85.2489,-0.0166011,85.2607,-1.21831,-1,11,43.8302,-0.519225,49.8723,0.379585,1,11,30.5584,-2.17914,136.777,-2.52412,1,11,2189.97
53.8274,54.0044,32.5828,25.7579,17.5112,35.6138,6.54751,17.0585,24.0115,16.1104,34.1128,1.60071,87.9821,1.09382,1,11,22.7394,0.960755,34.0668,-1.19212,-1,11,22.6242,1.6729,62.3895,-2.52809,-1,11,1752.53
88.1798,158.095,61.6602,35.4108,42.0901,48.265,41.1272,50.5032,57.438,52.373,62.8359,-0.393691,67.7687,-1.88526,-1,11,27.4982,0.301537,28.7579,1.31105,1,11,20.9184,2.4376,120.624,1.15126,1,13,1130.93
87.4502,93.0144,76.0933,52.8816,34.303,53.0975,30.1256,53.6394,74.3328,29.4722,47.9646,-0.440182,52.687,-2.94164,1,11,47.6871,-1.17585,84.6316,-0.97161,-1,11,45.0973,-1.15936,78.956,0.952565,1,11,1281.51
60.159,57.2888,29.539,24.9164,28.4383,32.6167,7.58071,34.1996,9.58199,8.91838,38.6228,-0.447569,42.5562,0.0842062,1,11,23.2241,-1.11521,39.226,2.5595,-1,11,20.6397,-1.27573,39.84,-2.25582,-1,11,2524.3
59.4863,56.7146,24.636,17.6525,21.572,41.8265,5.44908,13.4032,21.7099,16.1341,37.1394,1.10104,62.0195,-1.55196,1,11,23.652,0.684476,29.4122,1.20298,-1,11,23.5072,1.16776,41.4413,2.1633,1,11,1144.41
69.7531,63.3602,8.79239,24.1817,28.9505,44.936,5.53009,30.032,9.06619,10.0234,48.9303,-0.456271,54.1125,-0.141357,1,11,24.8024,-0.562613,28.8324,3.04652,-1,11,20.3343,-0.22158,20.8356,2.85691,-1,11,1599.79
91.5087,189.179,59.1178,33.8741,35.79,9.6469,6.77323,4.98699,22.4487,15.1739,31.891,1.61198,83.1114,2.11503,-1,11,23.4632,-0.742691,30.2372,0.259686,1,11,21.2586,-2.34869,112.324,-2.45823,1,11,1390.59
86.9177,65.2081,25.8518,16.1276,29.6392,48.1676,3.26947,23.656,3.31403,5.64471,42.8153,0.439575,47.0189,1.49499,1,11,34.514,-0.623927,41.4527,-2.00827,-1,11,20.141,-0.666517,24.7829,-0.98456,-1,11,2041.34
91.1979,109.502,73.1605,50.3346,51.8288,45.6562,35.979,97.1094,40.5562,11.7519,68.2431,0.0800235,68.4618,-0.318648,-1,11,35.7767,0.191738,36.4364,-2.66066,1,11,28.3796,-1.43233,62.821,2.05129,-1,13,2401.74
72.6221,28.8145,42.0719,16.8135,59.1911,31.1616,17.4215,24.0484,38.279,1.10952,43.8265,-2.45434,256.926,-1.2373,-1,11,30.4695,-2.28861,151.778,2.18466,1,11,21.8786,-2.32245,112.66,-2.19456,-1,11,1053.39
93.4188,73.7679,62.5487,29.4088,53.3671,42.6072,12.9461,52.6573,20.5745,15.2571,55.2394,-1.20056,100.066,1.92789,-1,11,42.6179,-1.28269,82.756,-0.659167,1,11,22.3542,-2.46927,132.99,-2.49583,1,13,2035.8
58.842,97.0691,71.0209,43.4801,25.9232,33.9018,10.0025,34.9458,32.6044,4.38921,39.0212,0.994253,59.9503,-0.651175,1,11,32.3294,0.54239,37.2026,-2.49376,-1,11,31.5129,-0.796907,42.0602,1.76719,-1,13,2110.42
88.826,71.3048,68.8725,43.5183,34.2561,43.731,28.8637,72.0765,48.9371,4.19308,51.6446,1.71734,148.459,-2.28446,-1,11,36.3367,0.71623,46.0621,-0.121882,1,11,23.6721,2.39612,131.043,1.4305,-1,13,-1256.02
70.7295,12.1044,54.2704,8.39281,56.8878,13.8164,23.5934,32.4889,50.8738,22.7468,35.7582,-0.883431,50.6435,-0.823391,-1,11,34.6794,-1.18236,61.8789,2.55511,1,11,21.2266,-1.3028,41.937,-0.702619,1,11,613.844
17.2179,67.8951,44.6769,76.0382,35.5157,3.2283,29.1555,79.512,51.4809,4.41739,54.6762,-2.18318,245.693,-0.520361,-1,11,23.2288,-2.0987,96.1464,-0.0400737,-1,11,21.3602,-1.90712,73.502,2.98327,1,11,1953.27
93.0223,94.4268,45.4076,53.6507,48.2366,51.7285,16.802,65.9003,32.0891,0.0468553,71.2663,-1.86763,236.155,-2.41636,-1,11,35.3474,-2.1229,149.786,-0.0912905,1,11,33.4155,-2.2118,154.408,1.34798,1,11,1978.37
87.8022,15.4867,58.4527,48.1517,98.9118,12.3239,23.8747,75.4104,33.4124,46.6139,70.4779,-0.416918,76.6924,0.69753,1,11,29.3251,-0.236862,30.1516,-1.88696,-1,11,28.6033,-0.735477,36.6945,0.826585,-1,11,2165.07
92.532,116.02,40.2259,56.3101,36.2714,44.3776,21.4299,44.7518,51.2827,33.8566,61.4467,-2.12657,261.312,-2.71835,-1,11,30.9343,-0.90644,44.537,-0.724202,1,11,26.3289,-0.300401,27.5259,0.649348,1,11,1271.56
90.3494,86.8812,55.1646,62.0534,27.3673,51.748,49.9842,96.6356,79.3209,30.1266,58.4558,-0.353584,62.1482,-3.0375,1,11,38.3426,0.685144,47.6996,-1.23335,-1,11,31.9366,-0.0940227,32.0781,0.260711,1,13,1239.55
