mll12,mll13,mll23,ptll12,ptll13,ptll23,met_et,mtw1,mtw2,mtw3,lep1_pt,lep1_eta,lep1_E,lep1_phi,lep1_ch,lep1_ID,lep2_pt,lep2_eta,lep2_E,lep2_phi,lep2_ch,lep2_ID,lep3_pt,lep3_eta,lep3_E,lep3_phi,lep3_ch,lep3_ID,weight
89.7139,65.5834,36.0381,32.1001,29.056,42.0826,14.8903,46.99,24.6589,19.3437,50.1965,0.45421,55.4642,-0.139542,1,13,21.5579,-1.24112,40.4054,2.55762,-1,13,21.2476,0.258069,21.9591,2.92572,-1,11,1922.22
81.339,81.904,32.9375,51.7975,45.1924,31.1478,37.3221,62.5863,20.9109,53.1275,60.9316,0.17747,61.8937,2.66528,-1,13,23.1225,1.36555,48.2464,0.505927,-1,11,22.1758,1.28769,43.2464,-1.11973,1,13,2243.21
83.4385,105.783,63.7219,92.4562,50.1521,49.5893,31.8009,98.4799,63.8703,8.43501,79.6601,2.41813,450.632,1.50775,-1,13,44.8766,2.40436,250.449,-0.036676,1,13,29.9991,1.60242,77.4941,-1.77718,-1,11,2237.57
59.1817,11.948,52.5681,17.1699,57.6346,8.10523,23.4077,47.3181,37.4235,37.9614,32.7825,-0.976968,49.7122,-2.33542,1,13,27.8434,-1.34015,56.8206,0.254933,-1,13,25.3345,-1.29903,49.8902,-2.59545,1,11,2233.13
145.728,83.6953,59.915,73.8946,81.6119,42.7805,32.9455,109.835,19.7441,27.2859,96.3632,0.84863,133.195,0.20002,-1,13,23.6131,-1.13501,40.5274,3.06919,-1,11,20.0166,1.0985,33.3581,2.67256,1,13,1260.19
64.5207,26.7454,52.7885,15.8773,64.5359,3.57395,24.3866,56.0512,14.3788,46.8421,39.0916,1.16831,68.9468,-0.707,-1,11,26.1512,0.777242,34.4562,2.14586,1,13,25.6231,0.359281,27.295,-0.859075,-1,13,2343.49
70.3192,69.4685,0.159837,26.5269,27.1044,47.6243,12.4713,50.2509,0.0721798,0.0299211,50.6216,1.87171,168.4,-2.57498,-1,13,24.1019,1.64169,64.5633,0.548865,-1,11,23.5224,1.64198,63.0281,0.551281,1,13,1086.35
72.209,56.0171,12.6351,46.0717,52.5892,68.0111,17.8271,32.0291,52.0537,46.4484,42.9232,1.17628,76.2041,2.09376,1,13,38.0061,1.85765,124.749,0.158073,-1,13,31.0466,1.73821,91.0127,0.507699,-1,11,727.542
39.0547,65.0354,47.2077,73.6415,24.6971,38.442,25.2525,67.687,56.61,12.2519,45.6864,-0.370022,48.8499,1.32101,-1,13,37.2928,-0.561659,43.3314,2.2843,1,13,23.5869,-0.564155,27.4411,-2.15805,1,11,1080.29
79.7777,67.955,51.9057,40.5167,31.2922,37.3516,16.0923,51.6374,28.5968,13.6337,41.756,-1.373,87.6986,-1.43801,-1,13,36.8415,-0.330615,38.8736,0.626949,1,13,26.8571,-0.509585,30.4205,2.55038,-1,13,2293.48
72.0062,47.3771,39.8736,21.5081,47.2751,32.0254,6.8088,34.1766,8.63963,10.9824,45.4299,-0.139575,45.8733,-2.74903,1,13,24.9743,0.622114,29.9652,0.194945,-1,13,21.3445,-0.28548,22.2202,1.81611,1,11,2772.23
43.1582,59.4056,56.3347,46.1401,25.8569,14.5527,1.40284,12.8197,7.53793,8.04111,31.0635,-0.946242,46.0394,-0.376667,1,13,29.2771,-1.55749,72.5714,-1.77797,-1,13,28.5722,-1.77247,86.5068,1.87164,1,11,1923.08
89.0517,55.4948,40.8354,15.5103,45.9643,48.5739,3.25823,5.37389,21.6216,15.8962,49.5244,0.53543,56.7947,-0.340087,-1,13,40.8463,0.491652,45.8833,3.08831,1,13,22.4394,0.645917,27.2854,1.61997,1,11,2208.81
61.756,55.0086,33.4712,16.855,25.2155,40.1368,27.5722,38.1742,33.5744,48.1082,33.925,-2.35542,180.436,2.73204,1,13,28.8896,-1.96384,104.969,-0.929186,-1,11,22.4111,-1.57431,56.4153,0.428324,-1,13,2624.14
70.7187,62.0863,21.3303,25.769,32.3348,56.9116,35.3597,75.0381,37.37,37.5378,42.6281,0.929164,62.3921,-0.394353,1,13,32.4839,0.799385,43.4274,2.09939,-1,11,24.7294,1.50801,58.5972,1.89201,-1,13,735.358
67.1347,61.0845,0.24595,19.4551,23.6118,44.6004,1.93039,3.56681,13.436,12.2417,43.8276,1.21559,80.3981,-1.93951,-1,13,24.3814,1.67844,67.584,1.22008,1,13,20.2191,1.67082,55.6491,1.21519,-1,11,1312.09
99.4927,89.9869,25.2516,37.3642,48.4186,51.3074,11.9093,41.0719,22.6677,32.5527,65.7176,2.02506,253.295,-1.84563,1,13,29.2773,0.986042,44.7014,1.4845,1,11,27.8201,1.09659,46.292,0.575703,-1,13,2395.82
103.013,68.2751,41.1238,44.6027,54.5975,47.3673,19.5015,59.9893,46.1147,7.70886,66.906,0.287546,69.6912,1.49245,1,13,41.433,-0.263643,42.8815,-2.35937,-1,13,20.2931,0.119075,20.4374,-0.85711,1,13,1086.86
63.1802,30.0582,44.5306,69.9331,65.4922,32.2235,39.9513,84.5883,48.9647,58.4915,49.253,0.871567,69.1747,1.5935,1,13,26.2884,2.31035,133.771,2.40978,-1,13,21.753,1.24463,40.8922,0.728666,-1,11,1603.98
93.2409,90.2904,41.4394,67.5191,55.2214,50.2384,9.09353,39.6288,34.6258,17.9016,78.2368,-1.85203,255.43,2.20252,1,13,36.5247,-2.0217,140.32,0.100298,-1,13,23.3609,-1.17153,41.3116,-1.08346,-1,13,2369.13
