mll12,mll13,mll23,ptll12,ptll13,ptll23,met_et,mtw1,mtw2,mtw3,lep1_pt,lep1_eta,lep1_E,lep1_phi,lep1_ch,lep1_ID,lep2_pt,lep2_eta,lep2_E,lep2_phi,lep2_ch,lep2_ID,lep3_pt,lep3_eta,lep3_E,lep3_phi,lep3_ch,lep3_ID,weight
88.094,48.6459,36.7466,53.1395,49.4069,54.3668,37.7586,79.5908,60.2215,50.3183,46.603,-0.975493,70.5915,-2.77935,1,11,32.1655,0.574092,37.6133,-1.08057,-1,11,22.2038,-0.710587,28.0496,-1.10019,1,13,1.10679
90.7463,117.181,75.779,16.9898,27.5555,64.7913,25.046,72.4459,11.8334,12.1562,54.6304,0.33116,57.6535,-0.100374,1,11,37.6658,0.380222,40.4214,3.02085,-1,11,27.1793,-1.63049,72.0552,3.1034,-1,13,0.571879
166.895,91.3849,71.0176,45.3459,63.2828,72.1585,19.2766,79.0965,13.6298,20.6425,81.7012,1.26789,156.653,1.66172,1,11,58.9998,-0.0769267,59.1746,-2.05308,1,13,29.0276,1.06805,47.2191,-0.743097,-1,11,1.88575
87.1301,61.5759,33.8858,62.296,89.0551,34.2066,12.0598,50.1969,16.3413,5.93012,83.7934,-0.666007,103.075,2.10749,1,11,22.8007,-0.905525,32.8052,-0.743079,-1,11,21.8721,-0.121405,22.0337,0.654569,1,13,1.12727
72.806,42.3669,30.2436,61.1879,49.0444,50.237,43.5401,78.7722,70.2384,58.0779,39.1155,1.86176,128.895,-2.47656,-1,13,29.053,0.122331,29.2709,2.88271,1,13,22.3481,1.17983,39.7924,2.45252,-1,11,1.00485
91.0462,53.9371,74.5309,41.8141,68.9277,17.1649,11.3184,37.6852,34.024,5.12848,58.334,1.87094,193.913,0.557324,1,11,31.2607,0.863982,43.6722,-1.81955,-1,11,25.9475,2.46854,154.257,1.90329,1,13,0.575173
968.527,460.018,88.6456,96.5126,316.478,465.393,33.787,127.34,197.997,103.502,418.3,0.021977,418.401,-2.6463,1,11,362.643,-1.35757,751.401,0.292496,1,13,102.965,-0.908486,148.46,0.365688,-1,13,0.603158
87.5655,45.609,44.8567,5.66689,49.4462,32.9919,18.539,29.1239,39.5917,4.02696,35.3747,0.824877,48.1077,2.83177,-1,13,35.2543,-0.540938,40.5394,-0.470428,1,13,20.4042,-0.480072,22.8013,-2.44915,-1,13,1.29315
105.642,90.0606,14.4844,50.244,52.4254,59.2604,58.0237,132.868,17.5182,10.86,76.2624,1.06816,124.066,1.49176,1,11,32.7117,0.240354,33.6613,-2.1569,-1,13,26.6689,0.70946,33.6668,-2.02899,-1,11,-1.15661
89.9344,122.045,91.2188,80.3751,42.6178,45.9859,23.2869,44.1102,15.9123,65.1355,66.9117,-2.1623,294.617,-1.73913,-1,11,50.4533,-1.688,141.106,-0.084918,-1,13,48.4866,-1.17945,86.3069,2.09064,1,13,1.17812
