mll12,mll13,mll23,ptll12,ptll13,ptll23,met_et,mtw1,mtw2,mtw3,lep1_pt,lep1_eta,lep1_E,lep1_phi,lep1_ch,lep1_ID,lep2_pt,lep2_eta,lep2_E,lep2_phi,lep2_ch,lep2_ID,lep3_pt,lep3_eta,lep3_E,lep3_phi,lep3_ch,lep3_ID,weight
57.1611,74.8417,85.5524,66.6327,37.494,39.5835,31.0305,36.6092,46.1845,54.991,47.375,-0.843533,65.2533,-2.58239,1,13,25.9731,-2.12856,110.668,2.79622,-1,11,24.4166,0.350013,25.9278,1.46104,-1,13,1
80.1701,405.589,206.477,140.016,63.1012,63.4826,126.841,227.673,151.869,55.6164,104.471,1.54302,255.558,-0.113786,1,11,50.7634,0.947933,75.3306,0.842714,-1,11,48.9745,-1.86797,162.341,2.60481,1,11,1
52.8418,48.6795,38.5457,23.7245,26.3185,31.3985,6.66471,12.6469,17.1494,25.0624,31.7622,2.31188,161.868,1.24725,1,11,26.0107,2.16688,115.039,-1.07046,-1,11,23.5763,2.31101,120.048,-2.84365,1,11,1
401.116,196.773,90.0371,64.2916,186.146,196.873,24.2117,122.31,81.6805,9.548,213.001,0.15393,215.529,0.852691,-1,11,172.904,-0.49586,194.6,-2.02627,-1,11,42.3438,-0.765095,55.3536,-3.09318,1,11,1
113.56,90.0252,13.3252,14.3455,31.8348,82.6534,33.5749,2.96593,82.0607,65.2957,63.2524,0.664121,77.7216,-1.10462,1,11,50.5622,0.449532,55.7576,1.91861,-1,11,32.0984,0.777708,42.3047,1.8915,-1,11,1
90.0012,60.8338,89.4721,3.65448,54.5499,44.9393,49.2198,46.6294,76.1074,70.8221,42.8017,0.33756,45.2635,1.33347,-1,11,41.7313,-0.382827,44.8269,-1.72542,1,13,28.3328,1.43599,62.9224,2.76322,-1,13,1
58.2667,85.3251,88.4945,63.6154,35.8881,21.6431,40.4448,82.3039,72.2593,5.03669,47.4371,-0.517642,53.9358,1.16242,1,13,37.4185,-0.884375,53.0304,2.6213,-1,13,27.3034,0.882534,38.6447,-1.12824,1,13,1
246.095,92.0533,54.8072,30.7493,109.033,121.255,26.976,93.9455,73.1869,6.32297,120.039,0.997306,184.85,2.52357,1,13,112.081,1.73357,327.134,-0.874791,1,11,20.4815,1.49275,47.8659,0.311721,-1,13,1
38.631,75.2145,86.8078,76.6016,45.4117,9.98116,42.2518,75.8555,47.5737,70.7537,44.3911,0.255497,45.848,0.683586,1,13,41.0383,0.439638,45.0687,1.60158,-1,13,37.946,-0.475167,42.3111,-1.29895,1,13,1
246.894,113.64,92.0861,92.7966,115.152,54.8406,25.9434,90.5853,12.6511,53.0297,94.5028,0.160291,95.7195,0.954745,1,11,79.9401,2.11169,335.079,2.98571,1,11,27.109,1.99842,101.834,0.161426,-1,11,1
169.307,93.7205,81.8987,63.5884,57.1484,64.4324,33.7398,95.8413,58.5698,26.0385,83.4061,0.171076,84.6297,-1.36039,1,13,43.7122,2.02463,168.409,2.62911,1,11,26.2644,0.0714157,26.3316,1.79991,-1,13,1
68.763,90.7957,47.4461,57.0907,11.5853,38.6011,43.4985,70.253,75.0137,38.4243,39.1097,-1.20044,70.8403,-0.91599,1,13,32.6851,0.176832,33.1976,-2.22508,-1,13,27.7466,0.48909,31.1321,2.29417,-1,13,1
83.7175,187.672,101.856,124.986,75.3235,85.5328,70.9528,135.86,121.298,99.9622,97.914,-0.982622,149.112,0.421754,-1,11,51.8416,-0.78278,68.5522,1.6566,1,11,47.3164,0.827406,64.4582,2.71868,-1,11,1
94.9968,79.9527,58.1501,42.714,22.6632,62.0438,49.4394,45.3557,92.0781,65.2317,51.5395,1.80824,161.412,3.13018,-1,13,42.8736,0.903619,61.6013,0.910676,1,13,31.2472,1.98831,116.241,-0.263558,1,13,1
95.9121,164.331,124.522,21.2529,22.4256,81.4516,48.0407,20.8691,95.1042,82.295,50.8099,-0.7491,65.7452,3.08844,1,13,47.0687,-0.577564,55.1401,-0.484288,-1,13,43.041,1.59799,110.731,0.400577,1,11,1
95.0109,101.736,59.1645,24.1633,20.0981,78.2025,29.0931,31.1442,71.6021,59.3828,52.5567,0.881544,74.3353,0.468063,1,11,45.3712,0.97551,68.7264,3.13271,-1,11,33.75,-0.395064,36.4182,-2.84203,-1,11,1
235.138,181.733,93.1274,82.3807,73.3147,120.008,30.2342,90.6882,91.8774,37.0608,118.911,0.772327,156.174,-2.20506,1,11,88.2692,-0.492479,99.1916,0.171622,-1,13,60.9982,-0.110806,61.3731,1.47073,1,13,1
320.734,93.5424,91.0156,29.3072,149.245,149.614,3.43678,41.4684,22.5099,5.41975,150.293,-1.15578,262.36,-3.1214,-1,13,149.385,-1.92419,522.517,-0.175617,1,11,24.2383,-1.54637,59.4738,1.46693,-1,11,1
92.8648,73.5985,30.7976,30.2388,43.4366,53.4509,11.5652,49.9946,21.1839,0.9941,60.6158,-0.426084,66.2019,-2.51285,1,11,37.048,-0.422285,40.4007,0.226237,-1,11,23.6424,-0.0510096,23.6734,1.24044,-1,13,1
260.091,129.394,91.2595,16.1223,90.4989,131.055,21.0653,91.5904,35.5041,2.45135,114.267,-2.07537,462.381,-0.828685,-1,13,99.5699,-0.773099,130.837,2.37506,-1,11,42.7271,-1.83406,137.133,1.49724,1,11,1
81.6607,78.8859,60.5754,67.0769,28.1442,54.002,155.9,147.216,151.703,98.1575,54.063,-0.18147,54.9556,-0.961279,-1,11,37.4746,0.933147,55.0092,0.567016,1,11,29.3875,-0.360562,31.3185,1.83908,1,11,1
187.896,233.295,88.3753,204.617,116.148,133.643,205.643,313.619,276.746,172.411,134.603,-0.571716,157.207,-0.0991017,1,11,94.874,-1.86514,313.64,-1.05425,-1,13,62.8899,-2.22501,294.375,-2.20154,1,13,1
130.945,20.9427,69.8665,31.5028,73.5377,6.4405,66.1447,120.127,18.4106,71.3613,54.5818,-1.93383,192.688,-2.14117,-1,11,26.711,0.349246,28.3568,0.613422,-1,13,20.754,-1.54779,50.9901,-2.6322,1,11,1
84.4659,82.5424,106.14,46.1451,82.2974,5.55453,45.1694,95.1945,47.2668,75.6542,50.2687,-0.402485,54.3957,-1.81471,1,13,45.7318,-0.546437,52.7311,2.32564,-1,13,41.4278,-1.84966,134.95,-0.89664,1,13,1
66.7106,51.9158,32.392,19.7234,23.11,35.0627,3.40464,5.71466,15.493,16.6177,32.2761,1.88213,108.443,-0.485529,-1,13,26.0413,0.652846,31.7909,-2.96993,1,13,20.577,1.09268,34.1328,1.86202,-1,11,1
93.549,91.2905,27.3681,37.5914,56.4754,66.5281,55.1467,53.5918,62.7726,40.6204,60.4039,0.552106,69.8464,-2.85903,-1,11,36.6041,-0.0238514,36.6146,0.911708,1,11,32.4685,-0.598911,38.4678,1.45726,1,11,1
76.4075,45.9305,15.777,55.3276,42.6095,57.1627,14.089,8.81798,23.019,18.493,36.9307,1.32072,74.1028,0.407297,1,13,36.899,-0.137393,37.248,1.85459,-1,13,20.3264,0.422948,22.1717,1.95243,1,11,1
90.8657,60.513,38.001,39.8486,48.0135,71.0852,79.7841,106.203,102.734,82.9977,49.5977,1.17803,88.181,1.95343,1,11,47.4044,1.60494,122.741,-2.03369,-1,11,25.0198,0.618093,29.9532,-2.43899,1,11,1
282.279,91.5612,174.432,118.715,192.879,113.033,53.7641,178.605,21.5605,76.0845,159.715,1.66041,435.346,-0.353904,-1,13,99.813,0.448584,110.025,1.9518,1,11,44.7499,2.37248,242.034,0.471937,1,13,1
118.84,93.4064,18.3181,31.5544,35.0898,71.2967,21.3446,45.1001,59.4596,36.6713,57.9096,0.705142,72.9133,0.606726,-1,11,49.1567,-0.374808,52.6501,-1.95872,-1,11,23.4125,-0.736835,30.0609,-2.36024,1,11,1
241.582,181.787,56.2456,72.2498,130.37,129.24,74.9888,206.758,50.0007,90.1566,149.335,0.185886,151.923,1.43962,1,13,81.3028,-0.70894,102.604,-1.48078,-1,11,59.5618,-0.639075,72.1444,-0.65203,1,11,1
59.3513,79.1564,26.3953,97.3918,70.612,48.0165,111.577,166.3,58.4108,2.49126,79.8733,-0.4755,89.0745,-0.496482,-1,11,30.3588,0.110439,30.5441,0.60723,-1,11,24.3079,-0.026482,24.3164,1.61075,1,11,1
83.468,91.9998,24.2444,84.5386,70.4975,42.2764,82.4244,155.196,78.0354,44.554,93.0249,-1.56833,232.889,-1.0255,1,13,25.1401,-1.82151,79.7311,1.02024,-1,11,22.7348,-1.44259,50.7893,1.99849,-1,13,1
272.922,91.2997,158.627,91.9374,82.5479,31.7764,40.0762,116.903,70.2803,25.1997,89.8337,0.507133,101.635,-2.07877,1,11,50.9309,-2.24864,243.968,-0.263872,-1,11,32.9226,0.342154,34.8686,2.22693,-1,11,1
122.981,90.2756,36.1387,90.1775,112.459,54.4548,43.7637,104.622,77.5801,66.4386,88.1947,1.28803,172.043,-0.721121,1,13,37.5736,-0.0968574,37.75,-2.45225,1,11,27.4798,-0.291773,28.658,-1.27843,-1,13,1
162.372,80.995,80.4022,57.5531,106.776,83.3756,74.7593,104.274,80.7797,5.49727,98.0549,0.411684,106.482,1.57625,-1,13,65.4499,-0.253187,67.5589,-0.964329,1,11,30.3518,1.10145,50.7014,0.151311,-1,11,1
89.3533,43.8198,67.728,40.2436,80.8942,14.2465,46.8963,108.807,7.96413,62.0173,63.168,1.63318,167.882,1.06525,-1,11,24.621,0.57844,28.8562,-1.7821,1,11,24.4227,2.33514,127.337,1.94891,1,11,1
95.6568,44.0261,54.3482,20.1447,48.2176,28.8085,40.5421,77.2336,15.759,54.1123,43.8019,1.08754,72.3609,2.01253,-1,13,27.6873,-0.614128,33.0747,-1.47795,1,11,20.9836,0.820224,28.4468,0.423248,1,11,1
92.2948,89.5036,33.1881,41.066,52.3026,50.9779,29.586,89.2169,15.0366,23.1827,70.9949,0.675009,87.7924,2.77461,1,11,29.9872,0.616235,35.8634,-0.414391,-1,11,22.1598,1.76668,66.7263,-0.843621,1,13,1
15.2686,81.9497,80.2482,74.6716,47.5466,31.246,128.804,21.2811,27.6522,73.8196,45.3003,-0.870763,63.5872,2.63325,1,11,29.6358,-1.24823,55.8811,2.46137,-1,11,23.8255,0.872266,33.4787,-1.91201,-1,11,1
93.3532,59.9082,28.8549,279.88,202.211,116.276,66.0411,124.966,99.5172,65.158,184.362,-0.831066,251.778,-3.12835,1,11,96.1791,-0.15785,97.3798,3.0102,-1,11,23.4554,-0.291405,24.4584,2.40853,-1,11,1
89.7555,115.499,51.076,256.357,203.782,173.229,39.1427,152.86,129.471,95.8789,149.256,1.79018,459.519,-1.66797,-1,11,109.25,1.1484,189.565,-1.40677,1,11,71.0818,1.03644,112.803,-0.830144,1,11,1
192.121,227.667,90.5877,71.6033,46.59,36.5255,36.376,76.4191,12.454,70.2599,57.3877,-2.16861,254.241,2.1747,-1,13,50.0584,0.359897,53.3355,0.486647,-1,11,45.8348,0.745128,59.1587,-1.87814,1,11,1
100.517,91.8715,58.5981,76.9499,50.7027,45.2941,17.0082,65.9128,47.9371,1.15841,70.6117,-0.183896,71.809,1.48277,1,11,47.7348,-0.939718,70.4088,-0.288641,1,13,26.1132,-1.09914,43.5403,-2.23264,-1,11,1
38.1629,65.1486,47.0776,59.9722,32.9043,7.1723,16.6196,5.68577,24.3537,33.0374,44.0249,-1.83346,141.218,-2.22803,-1,11,24.8422,-1.30688,49.2533,2.98054,-1,13,21.444,-0.826563,29.1962,0.113466,1,13,1
62.8219,81.9117,40.3245,181.447,142.367,48.8939,49.2105,162.51,89.6608,54.6223,139.209,-0.692662,173.961,-2.69122,1,11,42.2422,0.10507,42.4758,-2.70777,1,13,20.9978,-0.0347155,21.0104,2.09793,-1,11,1
98.996,26.0587,68.1662,60.9593,94.3557,58.2309,46.1561,104.638,37.7463,75.8483,61.0008,1.73025,177.491,2.50595,-1,11,54.6356,1.52242,131.166,0.469975,1,11,34.0965,1.22675,63.1359,2.24532,-1,13,1
82.9699,54.365,78.1665,17.4746,43.5906,33.5815,27.3874,30.0585,55.0695,19.8585,40.857,1.15428,71.2348,2.70724,-1,11,29.8149,2.41203,167.653,-0.824882,1,11,23.4234,0.309969,24.5577,0.969629,1,11,1
63.5662,62.2616,25.9047,26.4228,17.6542,46.6341,17.1435,50.8197,22.8003,4.15064,38.5402,-0.459936,42.6892,3.11447,-1,13,29.8449,-0.692059,37.2819,0.726263,1,13,21.0493,-1.31952,42.1922,-0.111237,-1,11,1
56.5921,65.2313,33.9216,64.8874,48.7399,44.541,7.57678,34.0162,28.32,22.0293,57.0617,-1.42219,125.175,0.426696,-1,13,26.9545,-0.946752,39.9645,1.92337,1,13,20.1328,-2.16933,89.2555,2.59142,-1,11,1
129.14,90.6148,44.3625,55.3621,95.1229,71.649,58.8001,128.252,69.9732,86.27,94.1745,-2.20633,432.848,-1.55479,1,13,45.8613,-2.38099,250.13,1.17251,-1,13,35.462,-1.8398,114.439,0.178119,-1,13,1
71.6704,12.6694,59.3794,18.0425,59.5819,10.6513,25.4536,2.04729,57.1212,6.29466,35.3031,-2.29647,177.215,-0.334097,1,11,33.7903,-1.55404,83.4948,2.28088,-1,11,25.0193,-2.01246,95.2654,-0.652494,1,11,1
