mll12,mll13,mll23,ptll12,ptll13,ptll23,met_et,mtw1,mtw2,mtw3,lep1_pt,lep1_eta,lep1_E,lep1_phi,lep1_ch,lep1_ID,lep2_pt,lep2_eta,lep2_E,lep2_phi,lep2_ch,lep2_ID,lep3_pt,lep3_eta,lep3_E,lep3_phi,lep3_ch,lep3_ID,weight
169.192,119.224,10.2681,52.9315,54.9731,55.709,60.0633,94.9457,82.2196,65.5079,69.5654,-0.232487,71.4539,1.28075,1,11,33.507,2.15009,145.791,-2.68672,-1,13,22.2664,1.78918,68.4872,-2.58861,-1,11,-0
98.7745,74.3988,44.4563,36.7031,37.2011,57.8039,21.9842,68.0483,22.7558,13.9479,52.668,1.29544,103.397,-2.05781,-1,11,49.1172,0.765622,64.23,0.34913,1,11,21.7605,0.247025,22.4281,1.70531,1,13,0.150721
79.4195,176.681,92.8197,21.9305,40.2905,53.1043,50.3041,79.6589,57.839,61.7087,41.4355,-1.35986,86.0272,0.495999,1,13,33.0743,-0.442435,36.3646,-2.09085,-1,11,23.1609,2.10085,96.0654,-1.40923,-1,13,0.130532
181.906,0.112186,96.955,28.3994,123.455,42.1151,56.7085,147.552,11.985,78.6373,96.1451,-1.7087,274.153,-1.85335,-1,13,69.1639,-0.75173,89.6439,1.39697,1,13,27.3095,-1.70892,77.8877,-1.85234,1,11,0.683634
167.779,79.6824,137.25,34.7572,40.0549,66.437,132.168,37.5384,143.96,132.476,54.0603,0.367742,57.757,-0.378674,-1,11,54.0231,2.43791,311.616,2.10813,1,11,34.4599,0.116887,34.6957,-2.68705,1,13,0.124405
96.6241,60.9357,69.1667,33.2174,83.8346,19.7713,16.5436,44.0588,45.2916,27.6404,57.4584,0.717757,72.9054,1.52441,1,13,40.0963,1.34049,81.8493,-2.21608,-1,11,26.589,2.14498,115.116,1.37138,-1,11,0.164909
90.3211,24.5689,68.4443,61.2152,107.687,52.132,100.589,156.353,98.9157,127.263,66.548,1.76291,199.675,-1.30079,1,11,42.5625,1.76821,128.347,0.725671,-1,13,41.748,2.17227,185.614,-1.0828,1,13,1.27443
97.1473,162.346,94.6529,65.1024,47.664,61.768,49.2616,18.973,79.6412,80.6252,81.6082,0.10855,82.0895,-1.04278,-1,13,35.0385,0.264233,36.2688,2.97757,1,11,34.0117,-1.88778,114.894,2.05066,1,11,0.0846047
278.092,37.3655,94.9299,114.143,108.768,85.5756,64.4884,40.5272,67.4835,6.05622,86.887,-2.32915,450.363,0.684359,1,11,73.9118,0.152516,74.7732,2.25388,-1,13,23.2814,-1.61077,60.6062,1.07615,-1,11,0.169998
144.7,101.154,66.6126,38.1674,54.1912,75.2504,57.146,134.775,30.3204,16.9362,83.2021,-0.865212,116.336,2.13894,-1,13,46.5205,-2.00223,175.395,-0.832951,1,11,29.0124,-0.38119,31.146,-1.01083,-1,13,0.11456
267.126,213.333,47.923,23.1542,50.531,175.609,152.677,26.2479,242.981,213.971,120.818,0.167651,122.52,2.25129,-1,13,97.6983,1.49761,229.33,-0.901919,1,13,79.7455,1.04157,127.057,-1.19132,-1,11,0.0536382
