mll12,mll13,mll23,ptll12,ptll13,ptll23,met_et,mtw1,mtw2,mtw3,lep1_pt,lep1_eta,lep1_E,lep1_phi,lep1_ch,lep1_ID,lep2_pt,lep2_eta,lep2_E,lep2_phi,lep2_ch,lep2_ID,lep3_pt,lep3_eta,lep3_E,lep3_phi,lep3_ch,lep3_ID,weight
58.7867,46.4884,60.5767,41.5468,47.0041,49.557,87.8595,87.941,0.178524,24.6269,35.743,0.339244,37.8195,-2.44964,1,11,31.1667,1.11521,52.6414,-0.64199,-1,13,20.5389,-0.866442,28.7431,-1.23358,1,13,1.13952
156.689,225.5,125.258,34.5282,123.92,16.0177,172.292,224.189,85.5719,147.113,86.4511,-0.778853,114.025,-1.76163,-1,13,52.8371,0.340174,55.9238,1.49681,1,13,37.4716,2.09133,153.993,-1.74651,-1,13,0.676811
427.31,179.653,93.9941,102.625,108.845,50.9001,61.9685,63.656,133.662,31.7057,106.073,1.27784,205.119,2.75851,1,11,74.4129,-1.82655,237.132,-1.54635,-1,11,27.3663,-1.11775,46.3173,1.16132,1,13,0.517888
141.343,84.4278,28.8187,38.7691,59.4365,40.223,63.8949,93.9183,1.63867,36.791,45.9438,0.852079,63.6562,-2.67888,1,13,25.6034,-1.91086,88.4191,-0.541222,-1,11,21.2892,-1.24659,40.0868,-1.62609,-1,11,0
57.4919,44.7214,31.7625,10.9737,27.5486,36.4667,34.5632,3.85667,58.6701,48.6946,30.4952,-1.6037,78.8689,1.80535,1,11,26.3856,-2.08533,107.806,-0.975584,-1,13,21.6447,-1.85025,70.5467,-2.40131,-1,13,0.441883
79.639,175.582,177.967,79.6623,49.6019,38.0747,85.9779,60.0409,36.7823,78.3685,70.9275,-0.762469,92.5631,-0.742858,1,11,31.9672,-1.69135,89.6855,0.763177,1,13,21.3552,2.14448,92.4115,2.35468,-1,11,1.36749
69.728,116.155,92.4384,58.9582,19.3283,50.9681,24.8373,56.5836,62.732,27.0943,49.1778,1.18662,88.0589,2.15708,1,13,42.076,1.11449,71.0265,-2.38221,-1,13,33.3484,-0.628014,40.1439,-0.70977,1,13,0.748581
97.907,67.7418,36.9703,19.2795,35.0526,66.1074,16.958,29.53,52.4291,36.2204,51.9246,1.7153,148.978,-0.0515428,-1,13,45.3694,1.2625,86.5922,-2.81738,1,13,20.8443,2.39671,115.456,-2.69535,1,11,0
194.152,126.52,86.0817,37.5165,115.597,19.9996,69.5856,152.2,28.471,93.9556,83.546,1.32624,168.442,-1.96834,1,11,53.9333,-0.518329,61.3421,0.828394,-1,13,34.2335,-0.659086,41.942,-2.3935,1,11,1.12263
105.032,75.1525,59.5944,12.6083,22.4372,72.8049,112.781,88.9585,90.8733,73.1308,44.3304,-0.0481797,44.382,-2.73009,1,13,39.2568,1.38122,83.0481,0.133927,-1,13,34.0805,-0.0929537,34.2279,-0.107808,1,11,1.48149
