mll12,mll13,mll23,ptll12,ptll13,ptll23,met_et,mtw1,mtw2,mtw3,lep1_pt,lep1_eta,lep1_E,lep1_phi,lep1_ch,lep1_ID,lep2_pt,lep2_eta,lep2_E,lep2_phi,lep2_ch,lep2_ID,lep3_pt,lep3_eta,lep3_E,lep3_phi,lep3_ch,lep3_ID,weight
74.0798,93.3957,68.47,57.2264,42.4397,12.7387,12.5154,35.3024,43.4054,0.859214,40.713,-0.652668,49.6966,2.46689,-1,11,37.8946,0.564784,44.1009,-2.3043,1,13,27.1259,1.32469,54.6169,0.624637,-1,13,1.16364
154.948,46.3367,75.823,15.1679,89.7387,49.1603,134.332,189.626,40.2522,118.256,68.2225,-1.36443,142.21,2.08378,1,11,58.2657,-0.0266788,58.2864,-1.23955,-1,11,28.0301,-0.67852,34.7341,2.90241,-1,13,1.12989
76.2812,94.5219,83.8432,37.716,68.2942,11.027,63.8527,112.381,46.5969,68.1294,49.8774,0.992944,76.5531,-2.12799,-1,11,34.2937,0.691552,42.8261,0.15722,1,11,23.3917,-1.19785,42.2784,-2.92592,1,11,0.60666
58.1133,64.2854,17.4198,48.6544,30.8991,51.5675,87.957,93.4565,100.076,84.4405,41.4686,0.482348,46.387,-1.90486,-1,13,29.0306,1.26424,55.4897,-0.252916,1,11,25.3918,1.23029,47.1583,0.399288,1,11,0.991575
42.9062,88.5631,72.3531,98.4561,31.235,25.8308,38.2722,95.5504,77.8533,19.7638,62.0102,-0.0744421,62.1821,2.43388,1,11,39.7635,0.603311,47.2224,2.95893,-1,11,31.8186,-0.162117,32.2379,-0.888196,-1,13,1.18715
88.4586,71.1614,31.0659,45.5708,39.596,40.3566,135.692,179.671,44.9044,14.5078,59.4848,0.178589,60.4359,0.0663858,-1,11,25.7255,-1.0553,41.4299,-2.27122,1,11,20.8687,-0.194774,21.2661,2.95886,1,13,0.630942
158.66,65.673,93.312,62.6953,115.231,40.0673,111.09,213.501,58.3827,77.591,103.612,0.928453,151.572,-2.65476,1,11,56.9234,1.66342,155.595,-0.0649902,-1,11,20.6556,-0.0357087,20.6688,2.57469,-1,11,0.853807
87.2789,100.378,37.4166,55.0494,40.4433,46.0607,49.6871,108.621,55.866,10.7071,65.9832,0.927216,96.4383,-2.11157,1,13,29.9662,1.7571,89.4213,0.0556891,-1,11,28.6535,2.07101,115.457,1.38985,-1,13,1.21281
77.5506,168.237,47.8665,99.0566,74.0016,45.1086,40.5771,96.6252,68.934,55.6556,73.3063,0.949606,108.918,2.87412,-1,13,30.0628,-0.458512,33.2787,2.23387,1,11,21.8108,-1.90752,75.0819,1.18633,-1,13,1.17796
168.223,93.2243,62.9418,35.1197,99.7341,56.3974,43.5337,42.5373,92.8412,56.3401,92.5173,-0.249744,95.4176,-1.61988,-1,13,59.103,0.795905,78.8321,1.66804,1,11,24.51,1.11755,41.4763,-0.223432,1,13,1.18288
97.2859,60.2449,60.4166,67.8541,86.7859,14.9579,61.7832,92.3604,86.1928,1.17532,80.2818,-1.07522,131.335,-1.10718,-1,11,31.6584,-0.315688,33.2492,1.05721,1,13,25.2614,-1.179,44.9491,-2.56718,-1,11,1.12191
111.65,74.3459,40.1358,70.8344,90.3196,72.2554,80.1443,145.735,104.748,89.0733,81.24,0.232954,83.4544,2.4638,1,11,50.628,0.0818607,50.7977,0.364822,-1,11,26.2119,-0.731477,33.5427,1.09888,-1,11,0.168255
47.6052,38.5464,40.7642,18.8315,33.4399,20.2665,24.9362,8.32397,41.1596,39.8226,27.1811,1.16035,47.6273,0.00843145,1,13,22.9926,0.756229,29.8865,-2.38115,-1,11,22.5101,0.695195,28.1725,1.68343,-1,13,0.703431
115.279,34.9084,76.6321,32.4088,78.2845,28.0675,41.3139,97.0685,10.8844,48.0571,60.9586,0.348009,64.6874,2.54473,1,11,29.7104,-1.29788,58.4499,-0.394549,-1,11,23.8088,0.680063,29.5301,1.66302,1,13,1.07806
