mll12,mll13,mll23,ptll12,ptll13,ptll23,met_et,mtw1,mtw2,mtw3,lep1_pt,lep1_eta,lep1_E,lep1_phi,lep1_ch,lep1_ID,lep2_pt,lep2_eta,lep2_E,lep2_phi,lep2_ch,lep2_ID,lep3_pt,lep3_eta,lep3_E,lep3_phi,lep3_ch,lep3_ID,weight
87.9512,58.2164,41.8288,31.8021,26.7924,23.6353,26.952,61.1396,29.8648,14.7365,35.0935,-2.43409,201.667,2.01728,-1,13,22.1413,-0.244808,22.8084,-0.0283052,1,13,20.1472,-1.27784,38.96,-1.98708,-1,13,1.19386
62.8244,56.5516,51.2572,26.1833,17.2185,50.3368,179.018,53.2778,143.586,125.321,32.379,1.23839,60.5475,1.85223,1,13,28.9774,2.16647,128.109,-2.16458,-1,11,22.1361,0.408514,24.0093,-1.81228,1,13,0.53551
85.3502,111.834,67.5795,99.671,81.494,24.0559,55.5849,146.06,53.7148,42.552,96.5913,0.866751,135.203,1.64612,-1,11,34.5509,0.94542,51.177,-0.013084,1,13,30.928,1.81399,97.3909,-2.41009,1,13,0.68509
114.35,89.0411,87.0608,114.822,108.47,22.9153,71.9503,145.672,122.823,16.1733,105.675,0.187412,107.536,-0.335905,1,11,55.8336,0.359459,59.4797,1.32829,-1,11,34.1885,0.378435,36.6661,-1.98571,1,13,0.885124
164.518,49.4617,63.93,15.2067,76.0063,57.5448,55.6872,78.5933,95.9517,64.4346,61.8379,1.15215,107.628,-1.32209,-1,13,61.5397,-0.451674,67.9245,2.06659,1,11,21.2228,0.185693,21.59,-2.28336,1,13,1.23102
111.757,47.6323,52.7345,354.561,279.332,110.588,241.015,58.099,41.2999,53.221,262.036,0.558728,304.012,-0.438742,1,11,92.5963,1.26026,176.392,-0.393101,-1,11,20.0912,0.196348,20.4798,0.114355,-1,11,1.15129
22.847,62.9685,73.4164,108.624,61.6482,51.8507,21.8954,57.6826,48.5753,43.2781,56.4567,0.279988,58.6843,0.0082039,-1,13,53.8814,0.0608913,53.9813,0.361308,1,11,21.8691,1.37382,45.9643,-1.50795,1,13,1.14453
84.6421,28.6022,66.0974,129.007,114.276,76.134,134.738,144.886,187.042,67.3359,84.9283,-0.762946,110.869,-3.09515,1,11,69.0115,-0.626213,82.9907,-1.93389,-1,11,31.1067,-0.370086,33.2613,2.79391,-1,11,0.677227
46.2789,105.664,90.1959,34.9488,29.3152,20.2749,54.8276,79.9295,22.0095,55.7331,32.688,1.96562,118.975,-1.66338,1,13,25.244,1.87354,84.1238,0.205284,1,13,24.9039,-0.569429,29.052,2.51455,-1,13,1.17193
123.22,96.0413,45.6719,52.2411,46.9365,65.4511,36.7195,102.635,14.4342,24.6043,74.7533,1.54869,183.812,-2.96405,-1,13,45.5549,0.58198,53.4899,0.938076,1,13,30.7745,1.19501,55.4908,-0.166037,-1,13,0.749577
125.666,101.852,34.5906,53.259,63.1516,51.7587,18.1032,76.8161,7.51597,18.0543,81.726,-0.814861,110.394,1.89225,1,11,32.997,0.509933,37.381,-0.832417,-1,13,28.2195,0.141272,28.5016,-1.96286,-1,11,0.579049
185.029,80.4659,41.7917,5.04674,76.549,95.3112,35.304,82.0336,71.2822,51.7266,86.5916,1.13333,148.416,0.332361,1,13,81.8376,2.01627,312.758,-2.78911,-1,13,21.477,1.71869,61.8166,2.50298,-1,13,1.24769
288.489,107.523,251.436,45.1847,116.685,93.4056,78.6433,72.9399,125.413,36.9427,105.106,-0.238639,108.113,3.07328,-1,11,72.868,1.94571,260.194,-0.432076,1,11,42.0155,-1.1055,70.4132,-1.73011,1,13,0.573505
49.4736,55.7775,58.5075,71.051,32.7273,25.2111,28.4867,34.6656,6.61651,48.4806,43.761,0.190651,44.5588,-2.20986,1,11,42.8016,0.152236,43.2986,2.85728,-1,13,20.9046,0.166873,21.1966,0.136501,-1,13,1.18151
201.026,68.9147,70.1809,98.4928,126.993,15.8191,69.7122,180.97,26.3058,67.8348,118.549,0.682955,147.288,-0.696119,1,11,31.1326,-1.55786,77.1968,1.67998,-1,11,22.3937,0.0750598,22.4568,-1.96636,-1,11,0.816319
